,Source Account,Text,Date,Tweets Ago,Compound,Positive,Neutral,Negative
14,@BBC,"RT @MIICEgypt: #Egypt 🇪🇬 has been ranked the safest country in Africa and higher than both the UK and US, according to a new @GallupNews po…",Wed Jun 13 22:34:28 +0000 2018,15,0.4019,0.101,0.0,0.899
15,@BBC,"Join us Allies! TrumPutin is a threat to all Democracies!
Canada France Germany UK

#NationalStrike June 19.20.21
E… https://t.co/2jn3TwumwB",Wed Jun 13 22:34:08 +0000 2018,16,-0.4184,0.099,0.18,0.721
16,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:34:00 +0000 2018,17,-0.3174,0.151,0.226,0.623
17,@BBC,"@solange_lebourg @lpannett @bbcquestiontime @carolecadwalla @BBC Ah bless, a remainer bedwetter whining. Who would have guessed?",Wed Jun 13 22:33:58 +0000 2018,18,0.2263,0.168,0.114,0.719
18,@BBC,@ALAN2553 @BBC Ever heard of London? We could do with this,Wed Jun 13 22:33:46 +0000 2018,19,0.0,0.0,0.0,1.0
19,@BBC,"As well as moaning on here, you can complain to a real @bbc  person by ringing 03700100222 https://t.co/uTsUxKRbvh",Wed Jun 13 22:33:31 +0000 2018,20,-0.2023,0.105,0.195,0.7
20,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:33:26 +0000 2018,21,-0.3174,0.151,0.226,0.623
21,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:33:11 +0000 2018,22,-0.3174,0.151,0.226,0.623
22,@BBC,RT @77BlueJays: @KISSfanaticz @GGJuliePayette @RoyalFamily @liberal_party @JustinTrudeau @gmbutts @telfordk @katepurchase @RalphGoodale @PO…,Wed Jun 13 22:32:33 +0000 2018,23,0.0,0.0,0.0,1.0
23,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:32:31 +0000 2018,24,-0.3174,0.151,0.226,0.623
24,@BBC,@solange_lebourg @bbcquestiontime @carolecadwalla @BBC Horrendous!,Wed Jun 13 22:32:25 +0000 2018,25,-0.6239,0.0,0.506,0.494
25,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:32:15 +0000 2018,26,-0.3174,0.151,0.226,0.623
26,@BBC,RT @77BlueJays: @KISSfanaticz @GGJuliePayette @RoyalFamily @liberal_party @JustinTrudeau @gmbutts @telfordk @katepurchase @RalphGoodale @PO…,Wed Jun 13 22:31:44 +0000 2018,27,0.0,0.0,0.0,1.0
27,@BBC,@RobBurl Yes but the best fix for that is to just point out that @BBC hacks are no better than any employed by… https://t.co/nKfcnB0Ou0,Wed Jun 13 22:31:43 +0000 2018,28,0.8658,0.335,0.082,0.583
28,@BBC,"Enough is enough, this is dispciable! My goodness how you have reached a new low, your flimsy mask has slipped… https://t.co/udHwBjWCN0",Wed Jun 13 22:31:30 +0000 2018,29,0.3802,0.197,0.088,0.715
29,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:31:20 +0000 2018,30,0.3612,0.143,0.0,0.857
30,@BBC,"RT @MsActiviss: @MamaRose2017 WeAreMighty
#DontBooVOTEBlue🌊 
#DontTWEETMarch👊
#NationalStrike June19.20.21
💥Organize Your LocalMarch 
✔NoWo…",Wed Jun 13 22:31:10 +0000 2018,31,0.0,0.0,0.0,1.0
31,@BBC,RT @yaahveradzem: #SouthernCameroonianLivesMatter #ambazonia Lord look at this@and tell us why we should sit in the same table with the Dev…,Wed Jun 13 22:31:04 +0000 2018,32,0.0,0.0,0.0,1.0
32,@BBC,RT @KISSfanaticz: @GGJuliePayette @RoyalFamily @liberal_party @JustinTrudeau @gmbutts @telfordk @katepurchase @RalphGoodale @POTUS @larry_k…,Wed Jun 13 22:30:47 +0000 2018,33,0.0,0.0,0.0,1.0
33,@BBC,"@BBC Simple story behind not smiling easily, we dont trust fake smiles. After you win our heart? We are yours baby.… https://t.co/DfhpDISNeg",Wed Jun 13 22:30:45 +0000 2018,34,-0.3438,0.198,0.304,0.498
34,@BBC,"RT @BBC: Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History | 9pm | @BBCTwo…",Wed Jun 13 22:30:42 +0000 2018,35,-0.4005,0.0,0.119,0.881
35,@BBC,"RT @tatbbfar: @FeistyRealist @BBC When ever the BBC talks about Tommy Robinson,they always start of with ""former leader of the EDL Tommy Ro…",Wed Jun 13 22:30:40 +0000 2018,36,0.0,0.0,0.0,1.0
36,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:30:40 +0000 2018,37,0.3612,0.143,0.0,0.857
37,@BBC,RT @tamara_lucy: Fuck this. @bbc it’s utterly disgraceful that you give a prime time platform for Oakeshott to publicly beg her position. D…,Wed Jun 13 22:30:31 +0000 2018,38,-0.5423,0.0,0.143,0.857
38,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:30:24 +0000 2018,39,-0.3174,0.151,0.226,0.623
39,@BBC,@DrBasharAlAssad @BBC Why are they not equal? Landlords are able to buy houses and rent them at extortionate rates… https://t.co/BmVRd0aW71,Wed Jun 13 22:30:13 +0000 2018,40,0.0,0.0,0.0,1.0
40,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:30:05 +0000 2018,41,-0.3174,0.151,0.226,0.623
41,@BBC,"RT @mazinwakamma1: BIAFRA: do we know that @theresa_may and @BarackObama was a key figure in emergency of BOKO HARRAM?
They fired highly th…",Wed Jun 13 22:30:03 +0000 2018,42,-0.7351,0.0,0.237,0.763
42,@BBC,RT @milly4red: #GenocideInSouthernCameroons What is the price of human lives? @antonioguterres receives his golden trophy from genocidal di…,Wed Jun 13 22:29:54 +0000 2018,43,0.0,0.0,0.0,1.0
43,@BBC,RT @cebiassemble: How can a Regime that is a signatory to many int'l Human Rights treaties treats innocent civilians with such cruelty? Do…,Wed Jun 13 22:29:51 +0000 2018,44,-0.3612,0.095,0.154,0.751
44,@BBC,"RT @MnsrMysterioso: So that’s LandRover, Vauxhall, RollsRoyce, more banks than I can name plus a string of retail outlets all moving to the…",Wed Jun 13 22:29:48 +0000 2018,45,0.0,0.0,0.0,1.0
45,@BBC,Heartbreaking watching this Grenfell documentary from @BBC,Wed Jun 13 22:29:47 +0000 2018,46,-0.4588,0.0,0.333,0.667
46,@BBC,"@RobBurl Or if it’s @BBC people who are acceptable to the Tories running things will appear more often. 

Your toke… https://t.co/1WRIHTUDks",Wed Jun 13 22:29:40 +0000 2018,47,0.3182,0.103,0.0,0.897
47,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:29:36 +0000 2018,48,-0.3174,0.151,0.226,0.623
48,@BBC,RT @FeistyRealist: So yesterday I’m told “Black &amp; Asian are the forgotten in Britain” so I say “Where you heard this ?” “This program on BB…,Wed Jun 13 22:29:28 +0000 2018,49,-0.2263,0.0,0.073,0.927
49,@BBC,"RT @BBC: Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History | 9pm | @BBCTwo…",Wed Jun 13 22:29:26 +0000 2018,50,-0.4005,0.0,0.119,0.881
50,@BBC,"RT @Mbaka_Ogonnaya: The world should wake up to the genocide against #SouthernCameroon, or has the big nations killed man's sense of humani…",Wed Jun 13 22:29:24 +0000 2018,51,-0.6705,0.0,0.176,0.824
51,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:29:24 +0000 2018,52,-0.3174,0.151,0.226,0.623
52,@BBC,RT @thesilverfox971: @bbcquestiontime @IsabelOakeshott @BBC just keep on giving fascists and extremists publicity. Hope the whole corporati…,Wed Jun 13 22:29:23 +0000 2018,53,0.5423,0.251,0.085,0.664
53,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:29:21 +0000 2018,54,-0.3174,0.151,0.226,0.623
54,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:29:02 +0000 2018,55,0.3612,0.143,0.0,0.857
55,@BBC,RT @bbcwritersroom: New in our #Script Library the complete #scripts for the acclaimed @BBCOne #drama A Very English Scandal by Russell T D…,Wed Jun 13 22:29:01 +0000 2018,56,-0.4902,0.0,0.137,0.863
56,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:56 +0000 2018,57,-0.3174,0.151,0.226,0.623
57,@BBC,RT @yaahveradzem: #SouthernCameroonianLivesMatter #ambazonia Lord look at this@and tell us why we should sit in the same table with the Dev…,Wed Jun 13 22:28:55 +0000 2018,58,0.0,0.0,0.0,1.0
58,@BBC,"RT @BBC: This elderly man was struggling slowly across a busy road in China - but luckily, help was at hand! https://t.co/xfCtAOkL6F",Wed Jun 13 22:28:54 +0000 2018,59,0.9134,0.413,0.062,0.525
59,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:53 +0000 2018,60,-0.3174,0.151,0.226,0.623
60,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:50 +0000 2018,61,-0.3174,0.151,0.226,0.623
61,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:50 +0000 2018,62,-0.3174,0.151,0.226,0.623
62,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:44 +0000 2018,63,-0.3174,0.151,0.226,0.623
63,@BBC,RT @LumSSN: Only God knows what will happen to these young women in the hands of the #Cameroun military. The humiliation is too much to bea…,Wed Jun 13 22:28:38 +0000 2018,64,-0.3818,0.07,0.124,0.805
64,@BBC,"@solange_lebourg @bbcquestiontime @carolecadwalla @BBC I think #BBCBrexitTime have got to the ""openly taking the piss"" stage now !",Wed Jun 13 22:28:20 +0000 2018,65,-0.4574,0.0,0.166,0.834
65,@BBC,"RT @Galaverna_GB: @solange_lebourg @bbcquestiontime @carolecadwalla @BBC She’ll be the major reason I avoid QT this week: her supercilious,…",Wed Jun 13 22:28:13 +0000 2018,66,0.3254,0.17,0.106,0.723
66,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:28:03 +0000 2018,67,-0.3174,0.151,0.226,0.623
67,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:27:57 +0000 2018,68,-0.3174,0.151,0.226,0.623
68,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:27:45 +0000 2018,69,-0.3174,0.151,0.226,0.623
69,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:27:33 +0000 2018,70,0.3612,0.143,0.0,0.857
70,@BBC,RT @JustSayNope: @111meeuwis @forestnffcfan @bbcquestiontime @IsabelOakeshott @BBCPolitics I think it is about time people of this country…,Wed Jun 13 22:27:30 +0000 2018,71,0.0,0.0,0.0,1.0
71,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:27:19 +0000 2018,72,-0.3174,0.151,0.226,0.623
72,@BBC,Wow love this new studio @BBC are using for #WorldCupRussia2018 Not at all in any way similar to watching three for… https://t.co/pwBwzRUHla,Wed Jun 13 22:27:00 +0000 2018,73,0.8402,0.286,0.0,0.714
73,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:27:00 +0000 2018,74,-0.3174,0.151,0.226,0.623
74,@BBC,Not sure why 'best World Cup intro' is a thing? It doesn't matter. The @BBC does sports coverage better than @ITV.… https://t.co/mXZ27Bz9v9,Wed Jun 13 22:26:58 +0000 2018,75,0.8529,0.342,0.039,0.619
75,@BBC,"RT @MsActiviss: @MamaRose2017 WeAreMighty
#DontBooVOTEBlue🌊 
#DontTWEETMarch👊
#NationalStrike June19.20.21
💥Organize Your LocalMarch 
✔NoWo…",Wed Jun 13 22:26:57 +0000 2018,76,0.0,0.0,0.0,1.0
76,@BBC,"RT @LumSSN: This video (reportedly captured in Manyemen) shows #Cameroon Military forcing young girls to crawl on mud. 
Humiliation to the…",Wed Jun 13 22:26:39 +0000 2018,77,-0.5719,0.0,0.156,0.844
77,@BBC,@GlynVeeTwin @jlivingstone100 @Gyropitus @GentlemanGeorge @alastairdick @SocialM85897394 @garysmi35858744… https://t.co/g6l0zA59fJ,Wed Jun 13 22:26:11 +0000 2018,78,0.0,0.0,0.0,1.0
78,@BBC,"RT @LumSSN: This video (reportedly captured in Manyemen) shows Cameroon Military forcing young girls to crawl on mud. 
Humiliation to the f…",Wed Jun 13 22:26:10 +0000 2018,79,-0.5719,0.0,0.15,0.85
79,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:25:31 +0000 2018,80,-0.3174,0.151,0.226,0.623
80,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:25:28 +0000 2018,81,-0.3174,0.151,0.226,0.623
81,@BBC,@Gyropitus @jlivingstone100 @GentlemanGeorge @alastairdick @SocialM85897394 @garysmi35858744 @bunter888 @MarkBurkin… https://t.co/pjsgEYxH9x,Wed Jun 13 22:25:28 +0000 2018,82,0.0,0.0,0.0,1.0
82,@BBC,"RT @Galaverna_GB: @solange_lebourg @bbcquestiontime @carolecadwalla @BBC She’ll be the major reason I avoid QT this week: her supercilious,…",Wed Jun 13 22:25:26 +0000 2018,83,0.3254,0.17,0.106,0.723
83,@BBC,RT @drmpwalsh: @solange_lebourg @bbcquestiontime @carolecadwalla @BBC I dont watch QT.  There is seldom evidenced debate. It's more a platf…,Wed Jun 13 22:25:19 +0000 2018,84,-0.4356,0.0,0.152,0.848
84,@BBC,RT @BBC: 😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,Wed Jun 13 22:25:13 +0000 2018,85,0.3612,0.143,0.0,0.857
85,@BBC,RT @yaahveradzem: #SouthernCameroonianLivesMatter #ambazonia Lord look at this@and tell us why we should sit in the same table with the Dev…,Wed Jun 13 22:25:07 +0000 2018,86,0.0,0.0,0.0,1.0
86,@BBC,RT @davidjaygee: @robertreed10 @solange_lebourg @bbcquestiontime @carolecadwalla @BBC And where are the police=nowhere,Wed Jun 13 22:25:00 +0000 2018,87,0.0,0.0,0.0,1.0
87,@BBC,@fergusleathem @HackedOffHugh @BBC Yup. Hugh Grant is wonderful.,Wed Jun 13 22:24:54 +0000 2018,88,0.7351,0.508,0.0,0.492
88,@BBC,"@Rashidfreed @BBC Hi Rashid, not sure if I'm in north Camden? (I live on Crogsland road) but I made this film with… https://t.co/cCtZaewo43",Wed Jun 13 22:24:53 +0000 2018,89,-0.1232,0.0,0.066,0.934
89,@BBC,RT @jymanamy: @solange_lebourg @Peterhahahart @bbcquestiontime @carolecadwalla @BBC More BBC bias and propaganda - waste of time watching,Wed Jun 13 22:24:53 +0000 2018,90,-0.6682,0.0,0.333,0.667
90,@BBC,@RichardSummers @StevePeers @carolecadwalla @RobBurl .@bbc blatantly fronted #projectfear during Scottish Indyref c… https://t.co/ArPsF1yex7,Wed Jun 13 22:24:47 +0000 2018,91,0.0,0.0,0.0,1.0
91,@BBC,"@MnsrMysterioso @SkyNews @BBC @itn It's a bit of both. Some of these types are organised via Facebook, WhatsApp etc… https://t.co/PZowEDakvu",Wed Jun 13 22:24:47 +0000 2018,92,0.0,0.0,0.0,1.0
92,@BBC,RT @MsActiviss: @MamaRose2017 @FBI @DNC @IndivisibleNet @AP @BBC @FRANCE24 @funder @Rosie @JimCarrey @Alyssa_Milano @robreiner #NationalStr…,Wed Jun 13 22:24:45 +0000 2018,93,0.0,0.0,0.0,1.0
93,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:24:43 +0000 2018,94,-0.3174,0.151,0.226,0.623
94,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:24:34 +0000 2018,95,-0.3174,0.151,0.226,0.623
95,@BBC,RT @solange_lebourg: I didn't think I could feel more disgust for @bbcquestiontime but here we are. Not only are they insulting brave and p…,Wed Jun 13 22:24:34 +0000 2018,96,-0.3174,0.151,0.226,0.623
96,@BBC,@bunter888 @jlivingstone100 @Gyropitus @GentlemanGeorge @alastairdick @SocialM85897394 @garysmi35858744 @MarkBurkin… https://t.co/rtKq5RFfpE,Wed Jun 13 22:24:29 +0000 2018,97,0.0,0.0,0.0,1.0
97,@BBC,@jlivingstone100 @bunter888 @GentlemanGeorge @alastairdick @SocialM85897394 @garysmi35858744 @MarkBurkin… https://t.co/mSBWxwe6Po,Wed Jun 13 22:24:24 +0000 2018,98,0.0,0.0,0.0,1.0
98,@BBC,https://t.co/BK654Ul39I @EmmanuelMacron @POTUS @VP @SecPompeo @SebGorka @MarkSteynOnline @TuckerCarlson… https://t.co/oklTybdehK,Wed Jun 13 22:24:08 +0000 2018,99,0.0,0.0,0.0,1.0
99,@BBC,@bunter888 @jlivingstone100 @Gyropitus @GentlemanGeorge @alastairdick @SocialM85897394 @garysmi35858744 @MarkBurkin… https://t.co/delqhetHzL,Wed Jun 13 22:23:31 +0000 2018,100,0.0,0.0,0.0,1.0
100,@CBS,RT @CBSThisMorning: .@DierksBentley still uses a flip phone?! That's what he told @JanCBS in an interview you'll see on @CBSThisMorning Thu…,Wed Jun 13 22:37:09 +0000 2018,1,0.0,0.0,0.0,1.0
101,@CBS,RT @CBSThisMorning: .@DierksBentley still uses a flip phone?! That's what he told @JanCBS in an interview you'll see on @CBSThisMorning Thu…,Wed Jun 13 22:37:06 +0000 2018,2,0.0,0.0,0.0,1.0
102,@CBS,RT @dramatistsguild: The Dramatists Guild Statement about the 2018 Tony Awards. #YourPenOurSword @CBS @TheTonyAwards https://t.co/YG10TV7VY…,Wed Jun 13 22:37:02 +0000 2018,3,0.4588,0.176,0.0,0.824
103,@CBS,RT @CBSThisMorning: .@DierksBentley still uses a flip phone?! That's what he told @JanCBS in an interview you'll see on @CBSThisMorning Thu…,Wed Jun 13 22:36:17 +0000 2018,4,0.0,0.0,0.0,1.0
104,@CBS,"RT @ktlewis14: ""This is for the people who lose"" - from @TheTonyAwards on @CBS last night. I can't get enough! Thank you @SaraBareilles and…",Wed Jun 13 22:36:05 +0000 2018,5,-0.6251,0.0,0.203,0.797
105,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:35:44 +0000 2018,6,-0.2732,0.0,0.104,0.896
106,@CBS,RT @rem3276: @Anncostanza1 @Blackdi51264299 @Acosta @CNN @MSNBC @nytimes @washingtonpost @ABC @nbc @CBS Our media is guilty of journalistic…,Wed Jun 13 22:34:41 +0000 2018,7,-0.4215,0.0,0.141,0.859
107,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:34:38 +0000 2018,8,-0.2732,0.0,0.104,0.896
108,@CBS,@RobertDRoseJr1 @TomiLahren @PressSec @realDonaldTrump @POTUS @Scavino45 @FoxNews @foxandfriends @TODAYshow… https://t.co/3F5UJiKdtI,Wed Jun 13 22:34:02 +0000 2018,9,0.0,0.0,0.0,1.0
109,@CBS,RT @CBSThisMorning: .@DierksBentley still uses a flip phone?! That's what he told @JanCBS in an interview you'll see on @CBSThisMorning Thu…,Wed Jun 13 22:33:48 +0000 2018,10,0.0,0.0,0.0,1.0
110,@CBS,"RT @SmallBiz4Trump: TRUMP ACCOMPLISHMENTS ..
Retweet the hell out of this to annoy @ABC @CBS @cnn @cnbc @MSNBC @nbc @nytimes @washingtonpos…",Wed Jun 13 22:33:47 +0000 2018,11,-0.8176,0.0,0.283,0.717
111,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:33:39 +0000 2018,12,-0.2732,0.0,0.104,0.896
112,@CBS,RT @kamorris360: @RepJayapal My heart is breaking!!!! Please please do something!! We need to abolish ICE !!!!! @MSNBC @NBC @ABC @CBS @CBSN…,Wed Jun 13 22:33:29 +0000 2018,13,0.6973,0.224,0.0,0.776
113,@CBS,RT @sandyErivers: @waltb31 @worldflood1 @realDonaldTrump This is absolute...at least 3 Russian tankers of steel have been loading up the US…,Wed Jun 13 22:33:24 +0000 2018,14,0.0,0.0,0.0,1.0
114,@CBS,RT @sandyErivers: @waltb31 @worldflood1 @realDonaldTrump This is absolute...at least 3 Russian tankers of steel have been loading up the US…,Wed Jun 13 22:33:09 +0000 2018,15,0.0,0.0,0.0,1.0
115,@CBS,RT @CBSThisMorning: .@DierksBentley still uses a flip phone?! That's what he told @JanCBS in an interview you'll see on @CBSThisMorning Thu…,Wed Jun 13 22:32:58 +0000 2018,16,0.0,0.0,0.0,1.0
116,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:32:34 +0000 2018,17,-0.2732,0.0,0.104,0.896
117,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:32:08 +0000 2018,18,-0.2732,0.0,0.104,0.896
118,@CBS,RT @rem3276: @Anncostanza1 @Blackdi51264299 @Acosta @CNN @MSNBC @nytimes @washingtonpost @ABC @nbc @CBS Our media is guilty of journalistic…,Wed Jun 13 22:31:38 +0000 2018,19,-0.4215,0.0,0.141,0.859
119,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:31:31 +0000 2018,20,-0.2732,0.0,0.104,0.896
120,@CBS,@Anncostanza1 @Blackdi51264299 @Acosta @CNN @MSNBC @nytimes @washingtonpost @ABC @nbc @CBS Our media is guilty of j… https://t.co/WZv2aofoYW,Wed Jun 13 22:31:31 +0000 2018,21,-0.4215,0.0,0.149,0.851
121,@CBS,https://t.co/LhgcGhWujU is live!  Please donate. Please ensure others donate. Please tweet what you want for a HAPP… https://t.co/E0DHBYyo0q,Wed Jun 13 22:31:09 +0000 2018,22,0.8439,0.48,0.0,0.52
122,@CBS,"RT @Anncostanza1: The Liberal Press are looking ""crazier &amp; crazier"" by the day! Unhinged, lying manipulative, exposed #Trump haters!
@Acost…",Wed Jun 13 22:30:48 +0000 2018,23,-0.8264,0.0,0.416,0.584
123,@CBS,RT @JKCorden: Tonight’s show a Drop The Mic with @aplusk and @Diddy plus @BTS_twt give an incredible performance @CBS 12.30 x,Wed Jun 13 22:30:41 +0000 2018,24,-0.2732,0.0,0.104,0.896
124,@CBS,"RT @IWillRedPillU: It's been 10 hours since the Department of Justice announced 2,300 Pedophiles were Arrested in Operation Broken Heart &amp;…",Wed Jun 13 22:30:04 +0000 2018,25,-0.4215,0.123,0.225,0.652
125,@CBS,RT @_5xo_25161: Here’s one for the history books! N Korea and USA hand shake! @POTUS is no doubt the best Prez in history! @cnn @msnbc @nbc…,Wed Jun 13 22:29:17 +0000 2018,26,0.5962,0.239,0.185,0.577
