City Name,Country Code,Lat,Lon
metzingen,de,48.58,9.25
krasnoselkup,ru,66.09,82.05
saint-pierre,pm,44.64,-57.34
haibowan,cn,41.27,106.54
mala,pe,-12.43,-76.13
padang,id,-0.18,98.63
katsuura,jp,27.02,146.64
narsaq,gl,77.69,-62.34
kirkwood,za,-33.36,25.8
butaritari,ki,6.44,179.68
bubaque,gw,5.8,-22.87
korla,cn,41.23,86.98
kirensk,ru,59.2,107.1
luanda,ao,-10.12,8.9
teknaf,bd,19.09,90.5
qaanaaq,gl,82.08,-94.87
lebu,cl,-37.33,-81.53
havoysund,no,77.04,23.82
beringovskiy,ru,52.22,179.37
nemuro,jp,42.63,145.26
uige,ao,-7.53,14.43
cabo san lucas,mx,5.79,-119.76
belushya guba,ru,72.68,49.18
carnarvon,au,-23.69,101.0
henties bay,na,-24.75,5.44
emerald,au,-24.77,144.46
mattru,sl,1.43,-16.3
grand river south east,mu,-19.29,74.48
avarua,ck,-28.51,-164.06
murray bridge,au,-35.01,139.69
hay river,ca,62.69,-118.78
namtsy,ru,63.17,129.56
scottsburgh,za,-34.25,36.77
rio grande,br,-32.46,-52.23
saint-augustin,ca,56.66,-57.57
santa cruz del sur,cu,20.46,-78.5
carutapera,br,0.82,-44.77
bana,cm,4.92,10.35
puerto ayora,ec,-0.32,-98.2
samarai,pg,-13.97,148.97
cidreira,br,-54.62,-24.65
arraial do cabo,br,-26.8,-41.34
atuona,pf,-7.58,-144.8
abha,sa,18.79,41.94
chokurdakh,ru,82.01,154.0
caravelas,br,-19.35,-34.81
clyde river,ca,72.23,-64.77
ostrovnoy,ru,80.52,40.86
berlevag,no,72.92,29.83
kodiak,us,55.33,-152.85
anadyr,ru,66.63,176.61
ponta delgada,pt,30.63,-27.91
skagastrond,is,68.2,-19.82
tuatapere,nz,-59.29,155.93
ponta do sol,cv,19.66,-30.82
riyadh,sa,20.86,47.87
mombetsu,jp,44.45,143.34
tautira,pf,-16.27,-146.17
codrington,ag,24.91,-50.36
santa cruz,cr,10.27,-85.73
provideniya,ru,54.78,-179.49
praia da vitoria,pt,46.67,-24.81
new norfolk,au,-54.4,137.48
adrar,dz,29.25,-4.03
hilo,us,8.67,-148.66
luderitz,na,-30.99,3.11
georgetown,sh,-14.13,-23.33
mbala,zm,-9.11,31.42
flinders,au,-33.84,134.02
olavarria,ar,-37.05,-60.78
barbar,sd,16.96,34.85
haines junction,ca,59.98,-143.2
xiangdong,cn,27.77,113.67
dicabisagan,ph,16.57,124.96
ribeira grande,pt,45.31,-38.49
attawapiskat,ca,59.46,-77.16
tapes,br,-31.25,-50.75
nikolskoye,ru,48.18,178.55
tasiilaq,gl,66.19,-41.3
nikel,ru,68.68,29.38
porbandar,in,21.28,69.37
meulaboh,id,-0.86,92.04
churachandpur,in,23.79,93.73
lichinga,mz,-12.51,35.7
longyearbyen,sj,84.51,15.87
san ramon,bo,-14.75,-63.33
atar,mr,19.82,-13.92
kimbe,pg,-4.75,148.86
smithers,ca,58.11,-126.46
port hardy,ca,44.33,-132.32
hithadhoo,mv,-3.46,81.69
natal,br,-2.69,-24.52
tubmanburg,lr,6.99,-10.5
sentyabrskiy,ru,37.2,153.44
san patricio,mx,18.03,-105.11
aswan,eg,22.43,28.68
kusk,af,33.61,61.65
sao miguel do oeste,br,-26.66,-53.82
kruisfontein,za,-83.72,29.61
husavik,is,77.89,-9.86
port lavaca,us,28.17,-95.96
saleaula,ws,4.24,-166.02
ahipara,nz,-36.9,166.89
heyang,cn,29.98,105.96
dengfeng,cn,34.43,113.09
kavaratti,in,12.02,66.93
artyom,az,41.09,51.42
kantunilkin,mx,21.9,-87.59
gorno-chuyskiy,ru,57.5,111.95
ketchikan,us,54.44,-132.8
sarkand,kz,45.78,80.23
talcahuano,cl,-35.32,-74.96
mahebourg,mu,-49.05,79.03
salyan,az,39.52,49.09
constitucion,mx,14.37,-123.18
bac lieu,vn,8.77,106.48
fairbanks,us,67.3,-142.94
aras,no,61.31,3.04
lazaro cardenas,mx,12.59,-104.96
geraldton,au,-30.28,111.22
aflu,dz,34.51,1.98
talnakh,ru,75.9,89.42
marina,us,36.64,-121.74
mys shmidta,ru,87.45,-179.99
bredasdorp,za,-75.98,18.57
saint george,bm,33.57,-54.63
bonavista,ca,50.98,-49.97
hualmay,pe,-19.17,-90.24
tiznit,ma,28.92,-10.68
brae,gb,67.62,-1.52
jumla,np,29.83,83.1
polyarnyy,ru,69.45,33.67
torbay,ca,42.63,-44.82
isangel,vu,-20.02,170.76
ibra,om,22.04,58.73
sao joao da barra,br,-28.27,-31.81
nguiu,au,-10.61,130.01
hokitika,nz,-42.84,169.4
nizhneyansk,ru,89.43,133.45
laguna,br,-34.21,-39.75
sudak,ua,44.88,34.73
touros,br,-1.52,-32.05
burgeo,ca,47.5,-57.06
lagoa,pt,49.37,-25.92
visnes,no,58.44,3.67
pevek,ru,68.15,169.03
northam,au,-27.72,120.3
vila velha,br,-27.52,-23.92
broken hill,au,-32.12,142.79
redmond,us,43.86,-119.64
jalu,ly,30.59,22.36
yulara,au,-25.92,130.39
laramie,us,40.92,-106.09
victoria,sc,-3.49,54.44
kaeo,nz,-33.88,173.8
paso de los toros,uy,-33.1,-56.39
mar del plata,ar,-68.93,-24.32
komsomolskiy,ru,69.99,173.48
sola,vu,-13.18,170.66
kenai,us,64.96,-155.5
chitungwiza,zw,-18.55,30.7
xichang,cn,29.33,100.42
gushikawa,jp,24.16,131.59
petropavlovsk-kamchatskiy,ru,47.75,162.5
khash,ir,27.67,61.84
pisco,pe,-18.74,-83.74
avera,pf,-23.9,-155.47
spirit river,ca,55.93,-119.25
gigmoto,ph,14.62,126.75
kanniyakumari,in,6.59,77.41
xai-xai,mz,-26.22,35.62
barstow,us,35.2,-117.35
manokwari,id,-0.07,135.05
kavieng,pg,14.09,151.72
syracuse,it,36.1,17.13
kangaatsiaq,gl,68.01,-52.88
ilulissat,gl,78.45,-42.95
turayf,sa,32.96,39.81
fianga,td,9.82,14.81
lara,au,-37.83,144.31
mao,td,14.37,15.19
karratha,au,-15.14,116.36
algeciras,ph,11.77,120.81
the valley,ai,24.27,-61.42
oranjemund,na,-33.9,7.0
aklavik,ca,68.18,-137.14
paciran,id,-6.1,112.89
bonthe,sl,3.87,-17.02
waingapu,id,-13.07,120.41
whitefish,us,48.4,-114.12
college,us,64.75,-148.84
caarapo,br,-22.49,-55.03
vaitupu,wf,-1.35,-175.42
ust-kamchatsk,ru,55.62,162.15
mnogovershinnyy,ru,54.12,140.26
christchurch,nz,-43.87,174.57
maymanak,uz,38.58,64.95
ranong,th,10.6,96.21
teguise,es,30.15,-12.34
bandarbeyla,so,8.2,52.87
half moon bay,us,31.1,-137.38
ixtapa,mx,8.26,-106.56
mersing,my,3.12,106.59
dauriya,ru,49.29,116.42
key west,us,25.24,-83.53
sataua,ws,-8.31,-173.51
mayo,ca,66.11,-136.93
kodinsk,ru,58.92,98.72
mount isa,au,-18.67,138.65
adre,td,13.08,21.82
almendralejo,es,38.71,-6.41
dangriga,bz,16.85,-87.76
kahului,us,33.32,-147.24
roma,au,-28.95,146.35
san quintin,mx,19.66,-128.8
green river,us,40.95,-109.6
tsihombe,mg,-50.63,50.34
yanan,cn,37.73,109.95
ust-omchug,ru,60.05,148.12
kano,ng,12.44,8.23
san pedro,ar,-24.75,-64.16
vardo,no,85.74,35.27
salalah,om,17.46,58.61
panama city,us,26.98,-86.5
lewiston,us,46.28,-117.59
mabaruma,gy,10.33,-57.46
naze,jp,23.19,134.2
portland,au,-60.96,126.89
shimoda,jp,24.64,142.39
bunbury,au,-32.89,115.03
oppdal,no,62.58,9.41
marathopolis,gr,36.64,20.94
suruc,tr,35.8,39.22
socoltenango,mx,16.18,-92.31
kayerkan,ru,70.96,87.57
ballina,au,-30.18,159.06
ecoporanga,br,-18.47,-40.94
necochea,ar,-50.41,-52.65
poum,nc,-18.11,156.78
bengbu,cn,32.81,117.32
matane,ca,48.92,-67.67
puerto del rosario,es,26.46,-12.48
east london,za,-34.31,29.95
pacasmayo,pe,-7.56,-79.7
saint-paul,re,-20.68,53.12
sibolga,id,1.01,97.93
navrongo,gh,10.53,-1.46
vanavara,ru,59.48,103.1
weihai,cn,37.96,123.02
jasper,ca,53.14,-118.58
shiraz,ir,29.54,52.33
nampula,mz,-15.34,38.33
mangrol,in,17.45,66.33
corrente,br,-10.46,-45.02
phan thiet,vn,10.34,108.56
suicheng,cn,33.52,117.67
inhambane,mz,-28.58,37.43
kharp,ru,69.3,66.63
north bend,us,44.15,-128.87
tumannyy,ru,84.93,38.85
roebourne,au,-23.94,116.84
yumen,cn,41.01,97.84
lensk,ru,59.76,114.85
halvad,in,22.9,71.09
suhbaatar,mn,49.89,105.76
puerto leguizamo,co,0.46,-74.23
orgun,af,32.51,68.65
porto murtinho,br,-21.88,-57.66
monrovia,lr,3.45,-13.28
bermejo,bo,-22.72,-64.46
ouegoa,nc,-18.42,164.84
high rock,bs,26.65,-77.88
roatan,hn,16.14,-86.72
albertville,us,33.96,-86.39
voznesenye,ru,60.94,35.19
kamarion,gr,36.46,25.85
sobolevo,ru,54.45,153.24
namatanai,pg,5.47,160.01
mori,jp,35.13,137.8
klaksvik,fo,75.22,-2.03
nikolayevsk-na-amure,ru,53.88,141.13
general roca,ar,-38.08,-66.58
bambous virieux,mu,-22.34,63.2
gat,ly,25.71,4.79
taksimo,ru,56.76,114.92
asau,tv,-8.15,179.76
beboto,td,8.21,16.74
twin falls,us,41.94,-114.31
baruun-urt,mn,45.41,115.62
muros,es,42.54,-16.65
champerico,gt,10.04,-93.73
aykino,ru,62.37,50.01
shar,kz,49.13,81.09
wanning,cn,18.91,113.55
zeya,ru,55.21,128.61
rudbar,af,29.55,62.2
kuching,my,4.82,108.88
vila franca do campo,pt,40.33,-22.75
morondava,mg,-20.45,43.32
kudahuvadhoo,mv,2.4,70.78
ambodifototra,mg,-18.09,52.02
sawakin,sd,19.05,37.38
bowen,au,-18.65,149.0
beatrice,us,39.84,-96.42
pochutla,mx,7.35,-98.31
bakchar,ru,57.39,80.82
erbach,de,49.67,8.98
non sung,th,15.25,102.34
darnah,ly,33.89,22.34
hamilton,bm,34.63,-68.18
ambon,id,-4.33,125.6
rundu,na,-17.23,20.57
parrita,cr,6.53,-86.37
elizabeth city,us,33.79,-71.92
margate,za,-39.65,40.93
urumqi,cn,42.36,87.98
lerwick,gb,61.6,0.38
nuristan,af,35.84,70.42
fukue,jp,31.79,126.67
river falls,us,45.23,-92.32
jardim,br,5.81,-32.45
havelock,us,33.82,-73.39
roblin,ca,51.31,-101.63
maba,cn,24.73,113.58
lasa,cn,31.55,88.23
port macquarie,au,-34.24,158.77
yeppoon,au,-20.57,154.88
porto nacional,br,-10.76,-47.89
sept-iles,ca,54.39,-66.43
norman wells,ca,72.18,-121.39
castlegar,ca,49.46,-118.08
bahile,ph,11.01,117.68
umm durman,sd,15.29,32.03
camacha,pt,35.19,-17.63
lavrentiya,ru,62.35,-168.78
sur,om,22.23,59.01
okhotsk,ru,60.68,141.64
voh,nc,-22.7,163.34
moose factory,ca,56.66,-76.58
vokhma,ru,59.29,46.58
porto novo,cv,14.96,-35.54
qaqortoq,gl,55.98,-49.0
klyuchi,ru,52.05,78.71
bekobod,uz,40.03,69.19
xuanhua,cn,40.08,115.03
kirakira,sb,-13.46,160.85
lodja,cd,-3.73,22.52
masjed-e soleyman,ir,32.0,50.03
sinnamary,gf,9.13,-51.4
ancud,cl,-40.58,-92.99
tibati,cm,6.47,13.14
bolungarvik,is,69.34,-29.74
temirtau,kz,50.1,72.87
sindand,af,33.4,62.59
matara,lk,-0.16,80.5
miles city,us,47.02,-107.24
bathsheba,bb,18.57,-48.77
banda aceh,id,2.69,88.73
anori,br,-3.26,-61.4
coos bay,us,42.37,-125.57
severo-kurilsk,ru,30.06,169.07
kabinda,cd,-6.07,24.6
svetlaya,ru,47.02,139.86
itacare,br,-14.44,-37.43
nouakchott,mr,18.89,-15.08
sitka,us,55.8,-140.28
devonport,au,-40.53,146.35
meyungs,pw,10.19,132.55
arys,kz,42.91,69.21
linapacan,ph,11.5,120.11
praya,id,-12.78,115.71
poronaysk,ru,49.88,144.44
zhuhai,cn,20.42,114.67
taburi,ph,11.25,113.72
nouadhibou,mr,24.01,-20.81
estelle,us,26.04,-88.0
pingyi,cn,35.32,117.53
san cristobal,ec,-5.66,-87.82
marovoay,mg,-15.83,47.08
wismar,de,54.07,11.35
griffith,au,-34.39,145.53
srednekolymsk,ru,71.76,154.77
aban,ru,57.1,96.28
sinop,tr,42.22,35.14
maghama,mr,17.69,-11.48
scarborough,tt,11.26,-58.78
koroni,gr,36.59,22.08
vrangel,ru,40.73,133.19
mecca,sa,20.36,40.0
pousat,kh,12.51,103.96
sharjah,ae,25.52,55.79
kelowna,ca,49.85,-119.15
gwembe,zm,-16.81,27.85
mahajanga,mg,-14.47,46.13
sao gabriel da cachoeira,br,-1.09,-67.84
catuday,ph,18.02,116.88
mudon,mm,16.12,97.76
guaiba,br,-30.35,-51.3
egvekinot,ru,67.2,-177.97
churapcha,ru,62.92,132.15
lorengau,pg,8.03,148.16
ijaki,ki,-3.63,175.55
olinda,br,-8.88,-30.6
obanazawa,jp,38.57,140.29
rocha,uy,-44.46,-46.71
juneau,us,59.83,-130.24
madison,us,44.05,-97.39
bronnoysund,no,65.5,11.88
yar-sale,ru,72.49,69.36
moree,au,-29.38,145.92
zuwarah,ly,33.38,12.11
ust-nera,ru,62.11,142.89
ocean city,us,37.56,-73.52
sambava,mg,-13.41,53.79
balkhash,kz,47.31,76.48
baykit,ru,61.58,94.7
coxim,br,-18.4,-55.68
port blair,in,10.73,91.19
vostok,ru,51.1,146.54
seagoville,us,32.62,-96.61
vacha,ru,55.81,42.54
cayenne,gf,12.03,-40.37
inyonga,tz,-7.0,33.07
auki,sb,-7.18,162.61
isakly,ru,53.93,51.76
vilhena,br,-13.72,-60.83
mogadishu,so,1.42,47.56
sturgeon bay,us,44.63,-87.1
rottingdean,gb,50.72,-0.07
niquero,cu,20.17,-77.8
saryshagan,kz,45.54,71.27
alcudia,es,40.35,3.58
abapo,bo,-18.76,-63.68
alofi,nu,-19.47,-165.94
coria,es,39.75,-6.45
manama,bh,26.7,51.0
jamiltepec,mx,16.15,-97.77
kabanjahe,id,2.09,96.65
pecos,us,30.26,-103.23
valparaiso,cl,-30.74,-81.45
altamont,us,41.42,-121.97
wheatley,ca,42.13,-82.43
aklera,in,24.5,76.43
sayyan,ye,15.87,47.16
fort frances,ca,48.27,-94.18
tarko-sale,ru,64.02,80.17
eucaliptus,bo,-17.7,-67.91
vila,vu,-15.28,174.11
houma,cn,35.95,110.79
troitsko-pechorsk,ru,62.01,56.72
ankang,cn,33.2,108.67
amberley,nz,-43.3,173.36
gorontalo,id,1.36,123.5
hambantota,lk,-1.26,87.76
bolshoye nagatkino,ru,54.3,47.92
yaan,cn,32.23,99.22
buariki,ki,1.55,165.44
igarape-miri,br,-2.56,-48.83
pa sang,th,18.15,98.63
sivaki,ru,52.32,126.99
utiroa,ki,-1.98,174.08
lumeje,ao,-12.54,20.93
dakar,sn,13.79,-19.93
hrubieszow,pl,51.02,23.86
mizdah,ly,29.43,11.52
falealupo,ws,-10.64,-173.99
novo aripuana,br,-6.53,-59.5
douglas,us,42.75,-105.36
ulaanbaatar,mn,47.55,107.55
galiwinku,au,-8.71,135.3
xiaoweizhai,cn,25.76,107.73
annau,tm,39.41,59.65
nkhotakota,mw,-12.56,34.4
arlit,ne,20.61,6.59
iquique,cl,-19.98,-71.48
angoche,mz,-18.45,39.84
katha,mm,23.87,96.36
shingu,jp,26.65,137.64
fort nelson,ca,59.26,-125.17
cockburn town,bs,23.35,-73.66
ramnagar,in,32.65,75.51
azua,do,18.22,-70.71
awassa,et,7.29,38.17
port hueneme,us,32.27,-119.95
yarada,in,14.45,86.68
nanning,cn,22.45,107.74
cruzilia,br,-21.56,-44.6
pangnirtung,ca,63.56,-60.6
maceio,br,-17.31,-25.73
salta,ar,-24.86,-67.76
ilhabela,br,-25.29,-44.86
hofn,is,57.28,-15.94
la ciotat,fr,41.84,5.27
mandalgovi,mn,45.36,104.61
goure,ne,14.31,10.08
babayurt,ru,43.67,46.75
saint anthony,ca,56.71,-53.66
yomitan,jp,27.4,126.17
qandala,so,13.84,49.7
illela,ne,14.57,5.53
itajuba,br,-22.36,-45.32
yei,sd,4.67,30.75
mandera,ke,4.3,40.64
konya,tr,37.94,32.12
ukholovo,ru,53.4,40.63
porto walter,br,-8.58,-73.14
roald,no,70.92,0.43
inirida,co,4.34,-66.11
padre bernardo,br,-15.34,-48.34
torbat-e jam,ir,35.04,59.4
baracoa,cu,20.02,-74.25
novikovo,ru,47.7,145.36
pinega,ru,65.57,43.19
rewa,in,24.53,81.16
hervey bay,au,-23.65,155.39
matagami,ca,50.89,-78.4
touho,nc,-20.48,165.85
inongo,cd,-1.3,18.29
chau doc,vn,10.94,105.19
veinticinco de mayo,ar,-35.6,-60.4
mayumba,ga,-7.54,5.05
pamanukan,id,-5.65,107.83
carballo,es,46.94,-11.84
lishui,cn,27.92,119.58
varhaug,no,58.28,4.7
diamantino,br,-12.13,-56.51
bolobo,cd,-1.6,17.16
hatogaya,jp,35.81,139.75
ust-tsilma,ru,65.56,50.56
hearst,ca,49.56,-83.98
victoria point,au,-26.25,157.84
portales,us,34.33,-103.77
kismayo,so,-1.06,42.79
trairi,br,6.27,-33.76
biltine,td,15.18,20.23
marzuq,ly,24.91,13.23
umea,se,64.07,19.63
cacapava do sul,br,-30.88,-53.13
valleyview,ca,55.13,-117.94
friendswood,us,29.59,-95.19
leningradskiy,ru,68.97,178.67
pechora,ru,65.08,57.26
pouebo,nc,-18.97,165.44
dragor,dk,55.61,12.77
natchitoches,us,31.23,-93.59
ayan,ru,55.21,138.21
elk plain,us,46.47,-122.01
hihifo,to,-15.0,-173.84
tawnat,ma,34.22,-4.61
qarqin,af,37.17,65.97
burica,pa,5.55,-86.35
srostki,ru,52.2,85.65
tari,pg,-5.04,142.12
lunca,ro,46.81,24.58
merauke,id,-9.71,138.24
koutsouras,gr,34.05,26.16
chute-aux-outardes,ca,50.12,-68.89
matadi,cd,-5.16,13.96
odweyne,so,8.67,45.85
asyut,eg,25.18,26.84
orlik,ru,51.83,98.79
lata,sb,-7.58,169.25
nabire,id,-3.3,133.28
petropavlovka,ru,50.0,105.4
vestbygda,no,56.63,5.64
honiara,sb,-15.03,158.07
takoradi,gh,-2.28,-0.07
soyo,ao,-7.95,10.05
bosaso,so,11.34,49.53
grindavik,is,54.27,-30.86
payson,us,40.14,-112.0
salinopolis,br,5.18,-44.2
veraval,in,15.83,67.01
luangwa,zm,-15.86,29.93
shenkursk,ru,61.78,42.75
richards bay,za,-28.37,33.95
nhulunbuy,au,-13.59,141.09
raga,sd,9.37,25.15
moerai,pf,-20.63,-151.17
burns lake,ca,53.97,-124.99
nargana,pa,11.4,-78.32
willowmore,za,-33.18,22.84
tilichiki,ru,58.57,166.52
bethanien,na,-26.16,17.38
penzance,gb,50.17,-6.15
kuytun,cn,43.8,84.07
intipuca,sv,12.63,-88.02
tabou,ci,0.96,-6.99
akureyri,is,64.93,-18.63
port augusta,au,-30.71,136.65
plettenberg bay,za,-45.91,24.35
isla vista,us,34.08,-119.82
eyl,so,7.36,49.45
louisbourg,ca,43.69,-58.72
silvan,tr,38.34,41.08
port lincoln,au,-51.56,128.14
meadow lake,ca,53.58,-107.56
okato,nz,-37.65,172.32
flin flon,ca,57.26,-101.57
aneho,tg,6.04,1.81
vestmannaeyjar,is,51.64,-22.6
tobermory,gb,56.68,-7.06
usinsk,ru,66.92,57.7
misratah,ly,33.48,16.74
wajir,ke,1.0,40.26
urla,tr,38.52,26.62
cukai,my,4.21,103.78
erzin,ru,47.02,95.04
phalombe,mw,-15.99,36.43
krasnoarmeysk,kz,53.68,68.63
bargal,so,10.4,57.73
taiyuan,cn,37.45,112.21
athgarh,in,20.59,85.77
coruripe,br,-16.63,-29.43
matamoros,mx,24.12,-93.64
linares,cl,-35.95,-71.11
steinbach,ca,49.01,-95.69
huilong,cn,32.84,124.94
mountain home,us,36.88,-92.47
ginda,er,16.66,40.36
byron bay,au,-29.36,158.63
shatrovo,ru,56.25,64.65
gedo,et,9.23,37.63
lakselv,no,69.14,24.34
lake havasu city,us,34.55,-114.82
trzcianka,pl,53.14,16.38
tanabe,jp,32.71,135.19
qandahar,af,31.64,66.24
thyboron,dk,57.24,7.71
perevolotskiy,ru,52.07,54.47
epinal,fr,48.2,6.4
kingman,us,35.57,-113.56
moindou,nc,-27.45,161.72
praia,cv,10.71,-21.97
westport,ie,56.08,-12.95
uva,ru,57.13,52.51
waipawa,nz,-47.59,179.92
osmena,ph,9.28,120.39
berdigestyakh,ru,60.47,127.28
goderich,sl,8.5,-13.54
koszalin,pl,54.53,15.93
dolores,uy,-33.62,-58.47
saint-pacome,ca,47.25,-69.76
mehamn,no,80.47,29.29
thunder bay,ca,50.85,-89.28
singapore,sg,0.98,103.54
polohy,ua,47.46,36.26
abu samrah,qa,22.92,49.21
cap malheureux,mu,-12.74,58.79
boende,cd,-0.21,20.02
khonuu,ru,67.0,142.16
gernsheim,de,49.76,8.56
sydney,au,-35.21,153.25
mengcheng,cn,33.03,116.79
coihaique,cl,-44.62,-70.63
garm,tj,38.56,70.45
vao,nc,-23.73,168.0
nador,ma,34.84,-1.69
nefteyugansk,ru,59.72,72.94
piacabucu,br,-15.64,-30.83
satitoa,ws,-14.18,-166.88
noumea,nc,-22.62,166.07
hami,cn,44.48,96.43
songjianghe,cn,40.61,128.32
zaraza,ve,9.44,-64.98
mount gambier,au,-49.38,132.26
ciudad bolivar,ve,6.36,-63.76
tetouan,ma,35.31,-5.22
surazh,ru,53.04,32.2
kuche,cn,41.81,82.07
dubbo,au,-31.35,146.09
jacareacanga,br,-6.28,-56.88
black river,jm,15.7,-79.76
weligama,lk,1.05,78.78
redlands,us,39.84,-109.38
baghdad,iq,32.62,43.81
lolua,tv,-4.07,177.29
nyimba,zm,-14.94,30.46
wilkie,ca,52.88,-108.78
impfondo,cg,1.35,18.48
amlagora,in,22.91,87.25
valkeala,fi,61.29,27.01
tokmak,kg,44.43,75.57
gornyy,ru,50.79,135.89
uribia,co,13.22,-71.67
taseyevo,ru,57.48,95.02
abonnema,ng,3.01,5.9
aguimes,es,26.53,-15.29
skoghall,se,59.23,13.46
ariquemes,br,-10.19,-63.16
ambuclao,ph,16.48,120.78
gambo,cf,5.41,22.35
chaman,pk,31.22,66.65
skiros,gr,39.23,24.58
paamiut,gl,58.16,-54.75
bloemhof,za,-27.89,25.63
ngunguru,nz,-35.72,174.77
basco,ph,20.8,121.95
tarudant,ma,28.88,-8.15
creel,mx,27.14,-107.08
kandrian,pg,-7.68,149.42
karkaralinsk,kz,49.75,75.89
burley,us,41.8,-113.3
qafsah,tn,34.53,9.31
torrington,us,42.05,-73.26
palairos,gr,38.83,20.86
yibin,cn,29.09,104.43
cardston,ca,48.23,-112.97
gizo,sb,-9.77,156.69
huarmey,pe,-17.89,-92.8
santa isabel do rio negro,br,1.8,-65.74
muyezerskiy,ru,64.01,32.54
asahikawa,jp,43.6,142.72
baikunthpur,in,23.74,82.4
mugur-aksy,ru,50.34,89.62
baripada,in,21.86,86.85
leh,in,33.36,78.55
rudsar,ir,37.74,50.54
jeremie,ht,18.19,-74.71
harper,lr,-1.83,-7.55
ruteng,id,-7.95,121.12
yinchuan,cn,37.13,106.28
mtwara,tz,-9.12,40.74
robertsport,lr,6.89,-11.24
kuznechikha,ru,57.14,42.52
burnie,au,-40.14,145.12
lamu,ke,-4.29,43.33
marsh harbour,bs,26.86,-77.51
bellingham,us,48.74,-122.43
taoudenni,ml,24.36,-4.64
henderson,us,36.41,-78.34
sorvag,fo,63.66,-10.23
dalvik,is,69.08,-18.59
mascali,it,37.8,15.19
koslan,ru,65.81,49.63
