City Name,Cloudness,Country Code,Humidity,Latitude,Longitude,Temperature,Wind
poya,64,nc,100,-21.35,165.16,70.25,21.54
palmdale,1,us,16,34.58,-118.12,63.77,12.75
tadine,92,nc,100,-21.55,167.88,68.63,14.45
aykhal,68,ru,59,65.95,111.51,70.16,7.9
narsaq,75,gl,86,60.91,-46.05,37.4,3.36
kahului,40,us,83,20.89,-156.47,71.4,9.17
montbrison,90,fr,87,45.61,4.07,63.84,2.24
olinda,75,br,78,-2.03,-79.75,73.4,11.41
arraial do cabo,24,br,100,-22.97,-42.02,68.45,5.61
zeya,12,ru,48,53.74,127.27,65.84,4.09
juba,20,sd,57,57.82,26.93,50.0,14.99
durusu,0,tr,22,37.53,40.83,85.5,6.93
avarua,20,ck,83,-21.21,-159.78,75.2,2.24
caucaia,75,br,94,-3.73,-38.66,78.8,6.93
tongren,0,cn,69,27.72,109.18,80.6,7.74
ostrovnoy,92,ru,89,68.05,39.51,38.21,18.41
provideniya,0,ru,70,64.42,-173.23,46.4,5.32
te anau,64,nz,96,-45.41,167.72,35.87,1.81
enid,1,us,94,36.4,-97.88,75.76,8.05
bara,0,sd,82,10.41,10.6,76.55,12.93
palmer,20,us,71,61.6,-149.11,56.01,2.08
abu kamal,0,sy,16,34.45,40.92,93.83,6.89
new norfolk,75,au,55,-42.78,147.06,60.8,16.11
tuktoyaktuk,88,ca,100,69.44,-133.03,32.0,10.29
kokopo,20,pg,100,-4.34,152.27,81.95,4.27
kavaratti,68,in,100,10.57,72.64,81.5,20.2
beira,20,mz,82,43.2,-8.36,57.06,10.29
bauchi,0,ng,85,10.31,9.85,69.62,4.05
ishinomaki,20,jp,78,38.42,141.3,75.2,11.41
prescott,1,us,22,34.54,-112.47,64.4,6.93
franklin,1,us,88,35.93,-86.87,68.58,2.37
hobart,75,au,55,-42.88,147.33,60.8,16.11
thinadhoo,44,mv,98,0.53,72.93,84.74,13.27
port elizabeth,90,za,82,39.31,-74.98,61.9,5.82
shelburne,75,ca,76,44.08,-80.2,51.67,5.82
saint george,20,bm,47,39.45,22.34,77.0,2.19
kafr sawm,0,jo,51,32.68,35.8,82.4,2.24
ilulissat,0,gl,70,69.22,-51.1,42.8,14.99
aklavik,90,ca,78,68.22,-135.01,35.6,6.93
cherskiy,0,ru,67,68.75,161.3,44.15,7.07
yablonovo,20,ru,51,50.85,37.36,59.0,4.47
kaitangata,56,nz,88,-46.28,169.85,46.67,18.37
altamira,64,br,96,-3.2,-52.21,72.77,2.26
anadyr,75,ru,71,64.73,177.51,50.0,6.71
coahuayana,48,mx,96,18.62,-100.35,66.47,2.75
lorengau,36,pg,100,-2.02,147.27,81.05,4.99
shulan,80,cn,61,44.41,126.94,71.51,9.08
abu samrah,0,qa,45,35.3,37.18,80.15,5.73
aras,0,no,32,14.28,44.38,75.47,3.6
meulaboh,12,id,98,4.14,96.13,86.18,5.06
gari,92,ru,100,59.43,62.35,51.35,3.27
varhaug,40,no,87,58.61,5.65,59.0,1.12
bathsheba,40,bb,83,13.22,-59.52,78.8,19.46
baiyin,40,cn,64,36.55,104.13,62.6,8.95
lasa,0,cn,65,34.92,32.53,81.61,3.36
yaan,32,cn,96,7.38,8.57,74.57,7.63
marawi,64,sd,83,8.0,124.29,77.54,5.32
inhambane,75,mz,93,-23.87,35.38,64.4,9.17
egvekinot,56,ru,94,66.32,-179.17,35.87,2.82
yuxia,0,cn,34,34.06,108.63,82.4,6.71
tornio,75,fi,71,61.12,27.27,51.19,13.87
kushiro,75,jp,87,43.11,144.15,57.2,10.29
chicama,90,pe,88,-7.84,-79.15,64.4,3.36
xichang,24,cn,32,27.88,102.25,76.64,1.81
paramirim,24,br,95,-13.44,-42.24,59.27,3.2
tupik,20,ru,50,54.43,119.94,72.68,3.38
grindavik,90,is,100,63.84,-22.43,45.55,5.82
camacha,40,pt,93,33.08,-16.33,64.4,5.82
mahebourg,40,mu,65,-20.41,57.7,82.4,14.99
lavrentiya,20,ru,78,65.58,-170.99,37.94,17.4
cidreira,36,br,90,-30.17,-50.22,47.84,9.8
san patricio,32,mx,83,-26.98,-56.83,46.67,3.49
leshukonskoye,56,ru,56,64.9,45.76,46.31,7.52
boralday,75,kz,25,43.36,76.86,86.0,4.47
tessalit,0,ml,17,20.2,1.01,81.14,9.86
altay,0,cn,20,47.83,88.13,67.28,3.27
iaciara,20,br,74,-14.1,-46.63,68.9,3.09
touros,76,br,95,-5.2,-35.46,77.18,6.4
biltine,0,td,17,14.53,20.93,83.3,11.1
imbituba,75,br,93,-28.24,-48.67,57.2,5.82
codrington,92,ag,74,-28.95,153.24,62.69,6.4
acari,12,pe,96,-6.44,-36.64,67.55,6.78
saint-joseph,75,re,88,43.56,6.97,63.79,3.36
steamboat springs,1,us,46,40.48,-106.83,53.6,3.71
lata,44,sb,84,30.78,78.62,69.8,1.52
broome,20,au,87,52.47,1.45,52.09,8.05
toamasina,20,mg,69,-18.17,49.38,78.8,6.93
mabaruma,92,gy,95,8.2,-59.78,77.09,4.99
beringovskiy,0,ru,92,63.05,179.32,37.04,5.1
polson,64,us,52,47.69,-114.16,54.14,2.04
seoul,20,kr,61,37.57,126.98,79.2,3.36
zhob,0,pk,33,31.34,69.45,89.87,5.88
boguchany,12,ru,48,58.38,97.46,66.02,1.25
barra do garcas,8,br,81,-15.89,-52.26,68.63,5.39
pasighat,8,in,76,28.06,95.33,80.42,2.04
chokurdakh,0,ru,95,70.62,147.9,35.15,6.62
lagoa,0,pt,93,37.14,-8.45,57.2,5.82
nichinan,75,jp,94,31.65,131.31,73.4,2.24
lancaster,40,us,82,40.04,-76.31,59.45,3.09
bethel,1,us,51,60.79,-161.76,62.6,17.22
kasongo,0,cd,38,-4.43,26.67,73.85,5.06
omsukchan,56,ru,37,62.53,155.8,53.15,3.83
fortuna,0,us,82,38.18,-1.13,59.7,4.7
krasnovka,56,ru,43,48.37,40.26,62.06,8.52
pasaco,40,gt,100,13.98,-90.21,75.2,3.36
lazurne,0,ua,69,46.77,34.99,65.39,9.8
lagodekhi,40,ge,47,41.83,46.28,78.8,4.7
glace bay,90,ca,100,46.2,-59.96,41.0,5.82
la ronge,5,ca,87,55.1,-105.3,44.6,5.39
skibbereen,75,ie,87,51.55,-9.27,57.2,3.36
mandali,0,iq,22,33.75,45.55,101.66,5.1
tura,12,ru,90,25.52,90.21,83.66,3.76
nador,0,ma,76,35.17,-2.93,61.12,1.12
lazaro cardenas,92,mx,44,28.39,-105.62,81.41,4.38
porangatu,12,br,86,-13.44,-49.14,67.37,2.86
puerto leguizamo,0,co,93,-0.19,-74.78,71.42,2.08
lehigh acres,1,us,83,26.63,-81.62,77.92,6.93
chuy,0,uy,100,-33.69,-53.46,45.5,14.61
conde,80,br,100,-11.81,-37.61,74.84,4.83
yar-sale,92,ru,91,66.83,70.83,35.33,3.04
khatanga,8,ru,62,71.98,102.47,62.42,18.81
valparaiso,1,cl,68,41.47,-87.06,68.29,3.36
chimbote,64,pe,100,-9.08,-78.59,60.62,4.76
bam,0,ir,10,29.11,58.36,98.87,9.35
labuhan,56,id,66,-2.54,115.51,88.16,2.71
kununurra,0,au,13,-15.77,128.74,89.6,9.17
waipawa,92,nz,93,-39.94,176.59,46.04,12.1
hambantota,88,lk,100,6.12,81.12,79.25,14.27
manokwari,48,id,99,-0.87,134.08,83.93,9.08
challapata,56,bo,84,-18.9,-66.78,20.57,2.59
ulaangom,8,mn,27,49.98,92.07,68.0,2.04
tabas,0,ir,15,33.6,56.92,99.68,2.59
sept-iles,20,ca,74,50.2,-66.38,37.4,5.82
mana,0,gf,88,43.52,20.24,65.26,2.24
bulgan,36,mn,49,48.81,103.53,68.36,3.87
longyearbyen,75,sj,74,78.22,15.63,37.4,6.93
hamilton,75,bm,88,32.3,-64.78,77.0,11.41
nelidovo,48,ru,51,56.22,32.78,53.42,12.26
eureka,90,us,93,40.8,-124.16,54.52,4.7
padampur,0,in,30,29.71,73.62,110.03,4.5
shaunavon,36,ca,85,49.65,-108.41,57.02,5.21
umarkot,0,in,41,25.37,69.74,100.85,16.8
warmbad,0,na,49,50.67,13.08,64.26,5.82
port hawkesbury,40,ca,93,45.62,-61.36,41.0,3.36
petropavlovsk-kamchatskiy,90,ru,93,53.05,158.65,41.0,8.95
srednekolymsk,0,ru,60,67.46,153.71,51.62,3.31
pingliang,92,cn,69,35.54,106.68,59.18,6.55
kijang,24,id,73,35.24,129.21,77.0,17.22
centenario do sul,92,br,95,-22.82,-51.6,62.87,3.2
laguna,8,br,57,27.52,-110.01,78.71,2.53
puerto escondido,56,mx,100,15.86,-97.07,85.1,7.78
bassila,88,bj,93,9.0,1.66,75.02,4.27
sitka,0,us,39,37.17,-99.65,83.39,17.85
dandong,92,cn,83,40.12,124.37,69.35,3.04
kangly,75,ru,56,44.25,43.03,73.4,8.95
campbell river,75,ca,58,50.02,-125.24,59.0,9.17
saint anthony,1,ca,63,43.97,-111.68,55.2,4.32
okhotsk,32,ru,71,59.36,143.24,48.56,4.83
evora,75,pt,93,38.57,-7.9,57.2,5.61
margate,75,za,55,-43.03,147.26,60.8,16.11
kangaatsiaq,88,gl,91,68.31,-53.46,32.36,5.06
rio tercero,0,ar,51,-32.17,-64.11,39.56,12.03
kibara,40,tz,77,-2.15,33.45,68.0,11.41
ahipara,36,nz,96,-35.17,173.16,52.16,13.27
somogyvar,75,hu,94,46.58,17.66,68.0,4.7
chumikan,8,ru,83,54.72,135.31,43.61,7.4
shingu,75,jp,88,33.72,135.99,73.4,8.05
kapit,56,my,81,2.02,112.94,84.38,2.37
ketchikan,90,us,93,55.34,-131.65,48.2,9.17
cabedelo,75,br,94,-6.97,-34.84,75.2,5.82
tynda,64,ru,62,55.15,124.74,67.64,3.49
awjilah,0,ly,20,29.14,21.3,86.18,3.87
yerbogachen,12,ru,52,61.28,108.01,71.69,3.76
togur,12,ru,59,58.36,82.83,76.46,5.55
alekseyevsk,36,ru,57,57.84,108.35,68.18,3.53
glenwood springs,1,us,27,39.55,-107.33,57.22,14.99
mackay,1,au,66,53.65,-115.58,48.2,4.7
awbari,92,ly,14,26.59,12.77,87.17,3.87
tiksi,0,ru,70,71.64,128.87,51.17,11.81
san ignacio,0,bo,100,-36.8,-72.03,33.8,4.7
waounde,0,sn,54,15.26,-12.87,83.12,13.89
hirado,75,jp,65,33.32,129.49,80.6,4.7
mangrol,32,in,48,25.33,76.51,96.62,2.37
boda,68,cf,95,26.2,88.56,81.77,5.84
ancud,44,cl,90,-41.87,-73.83,37.85,4.83
havelock,20,us,94,34.88,-76.9,70.39,4.7
balassagyarmat,90,hu,82,48.08,19.29,62.6,2.24
pratapgarh,36,in,56,25.92,82.0,99.77,5.77
karratha,100,au,99,-20.74,116.85,70.25,9.53
savannah bight,44,hn,100,16.45,-85.85,81.95,15.46
russell,0,nz,85,-33.01,-68.8,44.6,5.82
chapais,90,ca,93,49.78,-74.86,48.2,3.36
xining,92,cn,97,36.62,101.77,43.88,3.71
san rafael,0,bo,65,-34.61,-68.33,21.38,4.54
mezen,56,ru,60,65.85,44.24,46.4,6.51
port-cartier,20,ca,74,50.03,-66.88,37.4,5.82
anloga,40,gh,88,5.79,0.9,75.2,6.93
kourou,90,gf,100,5.16,-52.64,75.2,8.23
omboue,56,ga,100,-1.57,9.26,77.45,10.36
itarema,76,br,94,-2.92,-39.92,76.1,8.63
esso,20,ru,92,55.93,158.7,35.78,2.08
dukat,0,ru,79,42.44,22.31,65.84,0.47
khani,0,ru,65,41.96,42.96,77.0,2.24
kavieng,0,pg,100,-2.57,150.8,85.64,7.07
camacari,40,br,94,-12.7,-38.32,73.4,2.59
henties bay,0,na,70,-22.12,14.28,64.22,19.86
makurdi,24,ng,100,7.73,8.54,73.94,5.06
port blair,68,in,100,11.67,92.75,83.48,23.55
furmanov,0,ru,62,57.25,41.11,54.32,10.87
galesburg,1,us,64,40.95,-90.37,74.48,9.17
marrakesh,0,ma,72,31.63,-7.99,60.8,2.24
rocha,0,uy,92,-34.48,-54.34,42.98,10.54
mathbaria,76,bd,92,22.29,89.96,87.71,5.21
yuzhou,0,cn,30,34.16,113.47,95.0,8.95
aksu,0,cn,28,52.04,76.93,84.2,11.18
dingle,88,ie,70,11.0,122.67,85.73,12.88
kondoa,0,tz,62,-4.91,35.78,61.79,3.83
qaqortoq,75,gl,86,60.72,-46.03,37.4,3.36
dzheguta,24,ru,64,43.97,42.04,61.25,0.85
sao gabriel,32,br,89,-30.34,-54.32,38.3,3.2
umm lajj,0,sa,68,25.02,37.27,83.84,7.56
tombouctou,8,ml,43,16.77,-3.01,81.32,8.86
kutum,0,sd,15,14.2,24.66,77.63,8.23
baykit,56,ru,67,61.68,96.39,64.31,4.88
vanimo,24,pg,100,-2.67,141.3,84.74,15.57
belmonte,36,br,91,40.36,-7.35,48.2,3.31
mandan,75,us,62,46.83,-100.89,59.99,6.93
silopi,0,tr,37,37.25,42.47,84.74,3.31
fukue,75,jp,78,35.03,136.69,75.2,11.41
dharmabad,36,in,59,18.89,77.84,91.58,15.46
teguldet,44,ru,54,57.31,88.17,76.55,3.53
kuala terengganu,75,my,71,5.33,103.14,93.2,5.82
aleysk,44,ru,44,52.5,82.77,79.88,8.3
quesnel,1,ca,50,52.98,-122.49,57.2,3.36
pauini,12,br,92,-7.71,-67.0,69.8,2.48
kisangani,64,cd,78,0.52,25.21,78.98,3.09
kazachinskoye,0,ru,44,57.69,93.28,70.34,3.04
sola,40,vu,87,58.89,5.65,59.0,1.12
lyubytino,68,ru,54,58.81,33.39,51.35,13.11
yeppoon,12,au,41,-23.13,150.74,77.0,9.17
roebourne,100,au,99,-20.77,117.15,70.25,9.53
vila velha,75,br,94,-3.71,-38.6,78.8,6.93
bambous virieux,40,mu,65,-20.34,57.76,82.4,14.99
shu,32,kz,28,43.6,73.76,90.41,4.54
morondava,68,mg,95,-20.3,44.28,70.25,4.27
port macquarie,40,au,59,-31.43,152.91,64.4,8.05
umba,64,ru,79,66.69,34.34,43.07,12.03
tecoanapa,40,mx,74,16.99,-99.26,84.2,4.7
acapulco,40,mx,74,16.86,-99.88,84.2,4.7
sin-le-noble,90,fr,93,50.36,3.11,61.93,3.36
redmond,1,us,59,47.67,-122.12,57.6,3.36
west richland,1,us,59,46.3,-119.35,61.63,2.37
maltahohe,0,na,67,-24.83,16.98,29.39,2.86
bull savanna,80,jm,72,17.89,-77.59,78.35,6.11
nizhniy kuranakh,76,ru,84,58.84,125.49,54.32,5.21
humberto de campos,0,br,99,-2.6,-43.46,79.7,12.66
dicabisagan,76,ph,95,17.08,122.42,84.92,2.98
flin flon,92,ca,66,54.77,-101.88,56.84,6.62
ibra,0,om,37,22.69,58.55,95.18,3.87
hasaki,20,jp,57,35.73,140.83,79.75,10.29
irtyshskiy,8,ru,34,58.33,68.13,81.14,14.56
el real de santa maria,68,pa,100,8.11,-77.73,77.18,2.59
calamar,0,co,95,1.96,-72.65,71.15,1.86
bejucal,20,cu,100,22.93,-82.39,71.6,1.12
adrar,0,dz,19,27.87,-0.29,75.2,10.29
raudeberg,0,no,62,61.99,5.14,54.68,4.7
broken hill,64,au,51,-31.97,141.45,62.96,15.28
namatanai,48,pg,100,-3.66,152.44,84.2,7.4
hopkinsville,1,us,78,36.87,-87.49,70.38,2.37
foix,90,fr,87,42.97,1.61,60.8,8.05
saint-augustin,75,ca,100,44.83,-0.61,61.0,3.36
jalingo,0,ng,82,10.3,10.93,76.55,12.93
san carlos de bariloche,75,ar,79,-41.13,-71.31,28.4,5.82
grand-lahou,92,ci,92,5.24,-5.0,77.0,4.05
otjimbingwe,0,na,71,-22.35,16.13,40.28,6.51
pedasi,56,pa,100,7.53,-80.03,80.69,5.88
castro verde,75,pt,93,37.7,-8.08,57.2,5.55
orthez,75,fr,93,43.49,-0.77,60.8,4.7
hojai,88,in,93,26.0,92.85,79.97,3.27
vao,88,nc,50,59.1,26.19,54.23,11.03
pisco,90,pe,93,-13.71,-76.2,62.6,5.82
ahuimanu,90,us,94,21.44,-157.84,73.87,12.44
ballina,20,au,67,54.11,-9.15,59.0,3.36
mandera,68,ke,51,3.94,41.86,82.67,10.36
isangel,100,vu,100,-19.55,169.27,71.51,2.3
fort nelson,75,ca,76,58.81,-122.69,51.8,11.41
kruisfontein,12,za,62,-34.0,24.73,66.29,13.6
beaverlodge,40,ca,61,55.21,-119.43,48.2,4.7
boyolangu,56,id,59,-8.09,111.9,87.71,3.53
kenora,5,ca,58,49.76,-94.48,57.2,5.82
sioux lookout,5,ca,100,50.1,-91.92,41.0,7.11
lakatoro,92,vu,100,-16.11,167.42,75.65,8.86
tautira,40,pf,78,-17.73,-149.15,78.8,2.24
sambava,24,mg,100,-14.27,50.17,77.81,3.09
pervomayskoye,12,ru,49,57.07,86.23,77.9,4.5
ginda,44,er,84,30.69,78.49,69.8,1.52
bereda,20,so,82,43.27,-7.54,59.0,10.29
brownwood,75,us,58,31.71,-98.99,81.95,10.29
mujiayingzi,68,cn,68,42.12,118.78,64.4,4.09
burnie,92,au,97,-41.05,145.91,58.28,26.64
