City Name,Country Code,Lat,Lon
stratford-upon-avon,gb,52.18,-1.61
hamilton,bm,29.14,-67.71
sikeston,us,36.66,-89.76
hambantota,lk,0.87,84.62
dikson,ru,75.42,81.03
janesville,us,42.62,-89.16
belushya guba,ru,84.9,51.44
tambopata,pe,-13.4,-68.7
zabaykalsk,ru,47.44,115.89
north bend,us,43.4,-129.76
ormara,pk,23.23,64.62
tuktoyaktuk,ca,78.62,-138.17
trenggalek,id,-9.71,111.06
tumannyy,ru,76.31,39.11
nome,us,62.44,-167.5
port alfred,za,-84.61,49.41
codrington,ag,22.4,-51.64
schmallenberg,de,51.12,8.37
kassala,sd,15.26,35.16
bluff,nz,-63.46,172.73
kodiak,us,41.15,-159.69
porto novo,cv,13.62,-39.72
hegang,cn,47.31,130.42
arlit,ne,20.53,8.68
zhangye,cn,39.1,99.59
asekeyevo,ru,53.14,52.86
kiama,au,-34.64,151.31
saldanha,za,-42.73,-5.46
veghel,nl,51.62,5.52
abnub,eg,25.76,26.92
waitara,nz,-38.41,173.79
itoman,jp,24.44,128.57
nicolas bravo,mx,18.05,-88.97
college,us,71.17,-147.19
lagoa,pt,49.02,-33.79
lorengau,pg,-0.08,147.26
jalu,ly,29.26,22.61
rognan,no,65.38,17.03
boa vista,br,4.19,-64.06
himare,al,40.21,19.72
chapais,ca,55.32,-74.66
san patricio,mx,17.01,-108.12
kununurra,au,-15.11,125.26
amalapuram,in,14.45,83.19
derzhavinsk,kz,49.8,64.04
kavieng,pg,8.91,155.94
usinsk,ru,69.11,57.35
hasaki,jp,30.34,155.03
dubbo,au,-32.54,148.44
arona,es,26.54,-17.31
bayonne,fr,43.15,-1.15
kenai,us,64.61,-153.83
russell,nz,-30.18,177.93
avarua,ck,-75.61,-166.25
qaanaaq,gl,89.47,-72.52
alofi,nu,-26.34,-166.96
oum hadjer,td,13.28,19.64
jatai,br,-17.57,-51.9
bage,br,-31.49,-54.07
otradnoye,ru,44.19,146.45
sao francisco de assis,br,-29.44,-55.02
vaini,to,-53.34,-169.59
velyka oleksandrivka,ua,47.17,33.25
degtyarsk,ru,56.77,60.02
harper,lr,-0.66,-9.61
kyra,ru,49.81,111.12
dunedin,nz,-49.81,172.99
san jeronimo,mx,15.98,-100.89
sentyabrskiy,ru,36.78,159.92
kavarna,bg,43.11,28.43
oussouye,sn,11.42,-19.56
hobart,au,-44.37,147.8
half moon bay,us,30.13,-139.29
hornepayne,ca,51.04,-84.99
srednekolymsk,ru,72.57,153.75
ancud,cl,-41.7,-102.65
katsuura,jp,29.56,142.12
vila franca do campo,pt,41.27,-21.09
maumere,id,-7.45,121.67
camacari,br,-13.58,-36.51
rio verde de mato grosso,br,-18.99,-54.9
poya,nc,-26.71,161.1
caravelas,br,-18.86,-37.13
carmen,ph,7.25,124.82
ibadan,ng,7.35,3.66
beringovskiy,ru,54.09,175.72
qidong,cn,27.19,112.26
bitam,ga,2.42,11.79
creel,mx,27.45,-107.66
tuatapere,nz,-50.96,163.48
lomovka,ru,53.75,58.39
nadym,ru,65.36,71.42
east london,za,-60.49,48.38
isangel,vu,-17.29,172.58
naze,jp,22.04,137.56
souillac,mu,-52.88,76.63
farrukhnagar,in,17.03,78.11
mar del plata,ar,-45.92,-52.72
barentsburg,sj,86.19,9.61
dhidhdhoo,mv,7.36,73.4
bengkulu,id,-15.32,95.77
wheeling,us,40.07,-80.75
pevek,ru,88.94,165.15
salalah,om,17.05,52.1
francistown,bw,-21.2,27.28
campbell river,ca,51.97,-125.69
freeport,us,28.74,-95.63
linshu,cn,34.8,118.66
coahuayana,mx,16.52,-105.1
severo-kurilsk,ru,45.79,160.46
colac,au,-40.05,143.81
ozgon,kg,40.97,73.19
tonneins,fr,44.13,0.23
shizunai,jp,42.38,142.17
port lincoln,au,-42.85,133.45
rochelle,us,41.86,-89.2
kouroussa,gn,10.6,-10.07
bayan,kw,28.23,47.81
islamkot,pk,24.77,70.32
huarmey,pe,-11.43,-80.98
amderma,ru,69.28,59.51
goderich,sl,8.15,-15.04
luderitz,na,-26.86,9.56
san rafael del sur,ni,10.65,-87.19
luang prabang,la,19.37,102.28
rajapur,in,25.42,81.06
kaniama,cd,-8.74,22.78
thunder bay,ca,47.1,-89.57
la ronge,ca,58.85,-103.84
bud,no,68.56,4.76
aflu,dz,33.13,3.04
iquique,cl,-20.85,-69.41
najran,sa,20.41,45.34
khorinsk,ru,52.5,108.99
tanjong karang,my,3.28,101.06
sisimiut,gl,67.06,-58.7
usogorsk,ru,64.45,48.39
ituni,gy,4.5,-58.19
misratah,ly,34.15,16.66
sola,vu,-12.98,169.27
grindavik,is,58.31,-27.2
santa rosa,ar,-37.17,-65.84
victoria,sc,-8.78,53.85
ocumare del tuy,ve,9.78,-66.93
torbay,ca,35.14,-47.6
the valley,ai,22.56,-62.55
asfi,ma,32.6,-10.27
port hedland,au,-16.69,117.0
coihueco,cl,-37.14,-70.24
labuhan,id,-16.23,96.77
parangan,ph,5.26,119.68
maues,br,-4.14,-57.2
samusu,ws,-13.07,-166.31
kloulklubed,pw,5.31,135.73
porto-vecchio,fr,41.92,9.71
prince rupert,ca,51.17,-133.15
carnarvon,au,-27.33,90.63
broken hill,au,-30.45,142.9
boksitogorsk,ru,59.86,33.86
zyryanka,ru,65.56,149.81
eirunepe,br,-5.72,-70.74
umzimvubu,za,-36.26,33.66
yanan,cn,36.26,110.01
rawlins,us,41.53,-108.14
beira,mz,-19.57,35.71
wawa,ca,47.1,-85.74
beloha,mg,-30.96,41.13
alcacer do sal,pt,38.42,-8.69
rawson,ar,-49.03,-58.15
chittaurgarh,in,24.82,74.52
sisophon,kh,13.68,103.14
bichura,ru,49.92,107.7
urucara,br,-1.87,-58.45
talnakh,ru,75.45,87.67
kuusamo,fi,66.25,28.98
paita,pe,-7.19,-84.44
cacapava,br,-22.98,-45.78
north myrtle beach,us,32.34,-77.47
chagda,ru,59.84,129.76
esperance,au,-37.34,123.62
senanga,zm,-16.02,23.19
corowa,au,-36.03,146.2
bonthe,sl,0.53,-18.73
barawe,so,0.92,43.88
mys shmidta,ru,84.66,-178.4
cherskiy,ru,80.79,162.48
kollumerland,nl,54.63,5.66
beyneu,kz,44.72,56.17
riyadh,sa,26.87,47.03
utiroa,ki,-3.98,170.54
krasnoselkup,ru,63.59,81.24
arman,ru,55.26,148.19
ewa beach,us,18.84,-158.77
ilulissat,gl,87.71,-40.7
saint-raymond,ca,47.05,-71.63
yokadouma,cm,3.76,14.56
hobyo,so,2.72,51.09
cartagena,co,10.83,-76.26
marienburg,sr,10.65,-54.21
grand gaube,mu,-11.23,64.65
bandarbeyla,so,6.56,57.02
hue,vn,15.97,107.18
airai,pw,6.49,143.67
la asuncion,ve,14.07,-65.37
navahrudak,by,53.16,26.03
clarksville,us,38.52,-85.7
ambon,id,-4.31,125.7
cap malheureux,mu,-15.27,59.45
barra do garcas,br,-15.52,-52.85
geraldton,au,-29.78,114.28
vaitape,pf,-16.82,-156.3
saint-georges,gf,6.05,-47.7
bull savanna,jm,16.29,-78.57
richards bay,za,-30.07,36.12
sorvag,fo,60.83,-11.54
valdivia,cl,-40.12,-75.46
taltal,cl,-24.7,-79.62
ust-kamchatsk,ru,54.96,161.92
kabwe,zm,-14.14,28.21
algiers,dz,36.84,2.69
te anau,nz,-44.65,162.72
mareeba,au,-15.54,143.39
narsaq,gl,87.18,-63.87
kerman,ir,30.42,58.13
lasa,cn,32.15,89.88
north platte,us,40.33,-100.88
constitucion,mx,19.52,-120.83
velsk,ru,61.69,42.17
noumea,nc,-25.65,164.54
san cristobal,ec,-6.8,-90.37
cumaribo,co,3.52,-70.68
pisco,pe,-22.35,-95.28
pancas,br,-19.35,-40.78
aksarka,ru,66.56,67.61
norsup,vu,-17.15,164.73
seoul,kr,37.71,129.51
skalistyy,ru,73.78,34.51
los llanos de aridane,es,30.99,-21.22
maracas,br,-13.84,-40.76
karratha,au,-21.15,115.87
bhaderwah,in,32.88,75.56
berdigestyakh,ru,61.11,126.84
shuangcheng,cn,45.19,126.03
honningsvag,no,77.05,26.73
macusani,pe,-13.85,-69.98
ilinskiy,ru,61.09,32.51
saleaula,ws,5.63,-172.29
lata,sb,-3.54,167.09
longyearbyen,sj,77.49,20.45
altamira,br,-3.1,-52.24
camacha,pt,37.63,-17.3
kalabo,zm,-15.71,20.95
neyvo-shaytanskiy,ru,57.82,61.15
oranjemund,na,-28.32,14.73
alamos,mx,27.18,-109.12
garowe,so,8.04,48.7
hachioji,jp,35.61,139.24
yulara,au,-26.33,125.05
banda aceh,id,3.47,91.1
lompoc,us,19.93,-132.41
formoso do araguaia,br,-11.65,-50.03
changping,cn,40.85,116.03
olafsvik,is,65.05,-23.79
vila velha,br,-25.37,-24.72
kuytun,ru,54.68,101.63
dzhusaly,kz,45.91,65.06
oskemen,kz,49.07,82.13
pundaguitan,ph,4.42,128.3
yanam,in,15.85,83.01
danilovka,ru,50.46,43.67
tulsipur,np,28.19,82.7
srandakan,id,-15.79,107.47
bridgton,us,44.24,-70.86
bubaque,gw,4.59,-20.98
makakilo city,us,5.39,-167.75
mayor pablo lagerenza,py,-20.85,-61.61
vaitupu,wf,6.36,-175.86
kinkala,cg,-4.47,14.14
zhanjiang,cn,21.14,110.08
rabo de peixe,pt,38.3,-25.25
lavrentiya,ru,63.87,-170.72
nalut,ly,32.25,10.76
palabuhanratu,id,-18.82,101.83
kiunga,pg,-5.21,141.49
solnechnyy,ru,58.41,137.33
luganville,vu,-15.92,164.27
shimanovsk,ru,51.36,126.78
yanggu,cn,36.06,115.87
charyshskoye,ru,51.4,83.6
macaboboni,ph,16.28,118.96
iwanai,jp,44.1,138.63
maltahohe,na,-25.0,16.77
talara,pe,-6.22,-86.04
lismore,au,-28.76,153.28
disraeli,ca,45.75,-71.41
senhor do bonfim,br,-10.51,-40.01
warrington,us,27.6,-86.96
coquimbo,cl,-28.84,-76.62
peace river,ca,56.66,-117.1
te horo,nz,-40.47,174.54
anaco,ve,9.32,-64.48
tyrma,ru,50.59,131.78
mackay,au,-18.26,154.61
novyy urengoy,ru,69.29,75.78
san andres,co,12.7,-79.13
antofagasta,cl,-23.78,-71.21
tulun,ru,53.54,100.54
cayenne,gf,10.92,-48.34
mandalgovi,mn,46.31,104.48
nioro,ml,16.71,-10.37
mapiri,bo,-14.34,-68.97
tahe,cn,51.32,125.06
havelian,pk,34.02,73.24
verkhnyaya inta,ru,66.71,61.65
taunggyi,mm,21.45,96.89
naryshkino,ru,52.87,35.69
anadyr,ru,62.45,175.77
mardin,tr,36.69,40.46
pitkyaranta,ru,61.06,31.2
itzehoe,de,53.86,9.58
coihaique,cl,-46.92,-70.31
ta khmau,kh,11.35,105.19
ponta delgada,pt,34.49,-27.66
hualmay,pe,-11.27,-77.93
talcahuano,cl,-32.1,-80.9
piryetos,gr,40.04,22.79
kadoma,zw,-18.22,29.22
laizhou,cn,37.05,119.75
muana,br,-1.02,-49.46
thayetmyo,mm,19.13,95.11
morondava,mg,-18.95,42.65
luanda,ao,-9.1,8.91
clyde river,ca,67.98,-67.66
aloleng,ph,15.76,115.84
sambava,mg,-12.09,53.32
rio gallegos,ar,-50.09,-68.33
palana,ru,60.48,159.51
henties bay,na,-24.46,4.67
dawlatabad,af,37.17,64.63
teacapan,mx,22.08,-106.6
sakaiminato,jp,35.85,132.96
ossora,ru,57.88,164.36
ahipara,nz,-35.05,165.28
darhan,mn,44.43,109.41
rungata,ki,1.38,178.11
kaeo,nz,-26.81,177.56
bathsheba,bb,18.52,-45.79
meulaboh,id,0.37,92.43
ayagoz,kz,48.12,80.82
lazarev,ru,52.77,142.08
valparaiso,cl,-30.98,-78.58
sangar,ru,63.05,128.18
kaihua,cn,23.4,104.63
taoudenni,ml,22.54,-7.86
kutum,sd,20.7,25.47
razole,in,14.76,82.63
gravdal,no,73.26,11.17
santa lucia,es,26.57,-15.8
coaticook,ca,45.17,-71.63
guerrero negro,mx,13.62,-131.1
jiddah,sa,21.39,38.94
mount gambier,au,-42.11,137.09
dombarovskiy,ru,50.55,59.14
leh,in,34.26,80.52
hohhot,cn,39.95,111.61
tilichiki,ru,60.55,170.88
vanersborg,se,58.53,12.47
norfolk,us,41.94,-97.85
palmer,us,61.28,-146.03
klaksvik,fo,66.61,-3.24
jesup,us,31.3,-81.9
carroll,us,41.96,-95.02
damietta,eg,32.89,31.59
puri,in,18.73,86.37
tikapur,np,28.47,81.08
rovaniemi,fi,65.87,26.63
shelburne,ca,40.48,-64.15
monrovia,lr,5.23,-10.99
santarem,br,-3.53,-54.71
senneterre,ca,47.35,-77.17
waipawa,nz,-41.84,176.98
arkhangelsk,ru,65.75,40.54
plainview,us,34.4,-101.18
buchanan,lr,5.15,-9.82
namibe,ao,-17.53,6.35
novo aripuana,br,-5.79,-59.82
karamken,ru,60.02,151.68
sinkat,sd,21.37,35.44
jizan,sa,16.51,41.44
erenhot,cn,44.26,109.77
phrai bung,th,13.71,104.35
linxia,cn,34.99,101.87
bosaso,so,10.67,49.13
grand river south east,mu,-27.71,82.92
san quintin,mx,30.06,-116.24
puerto del rosario,es,25.75,-11.76
high rock,bs,27.25,-78.07
ayorou,ne,14.67,0.41
trincomalee,lk,9.03,81.75
maykain,kz,50.8,75.54
vestmannaeyjar,is,63.19,-20.48
bambamarca,pe,-6.64,-78.34
miramar,mx,22.4,-96.66
san felipe,ve,10.46,-69.0
yuanping,cn,38.7,111.75
bumba,cd,1.5,22.55
wanning,cn,17.05,111.11
victor harbor,au,-36.92,137.75
buqayq,sa,26.11,49.17
nouadhibou,mr,22.63,-15.52
rurrenabaque,bo,-14.22,-67.82
lake city,us,29.81,-83.2
moba,cd,-6.91,29.35
pangnirtung,ca,67.67,-65.65
oistins,bb,11.91,-53.82
kamenskoye,ru,64.81,164.36
balaipungut,id,0.32,101.85
san ramon,bo,-13.54,-65.76
eskasem,af,37.1,72.83
ixtapa,mx,9.83,-105.39
high prairie,ca,55.38,-116.2
puerto escondido,mx,9.12,-99.22
vanderhoof,ca,53.31,-124.33
xining,cn,35.5,100.22
senmonorom,kh,12.47,107.27
bethel,us,50.72,-162.61
codajas,br,-3.83,-62.15
saint george,bm,30.89,-58.36
sinnamary,gf,9.02,-51.46
shakawe,bw,-18.74,22.18
calama,cl,-24.15,-67.69
gaozhou,cn,22.15,110.6
kangalassy,ru,62.37,130.45
pastos bons,br,-7.12,-43.8
okha,ru,55.62,143.8
naryan-mar,ru,67.49,52.26
namatanai,pg,2.1,158.79
de-kastri,ru,50.91,141.18
helena,us,47.5,-112.48
union,py,-24.76,-56.46
zhigansk,ru,68.5,123.58
yelizovo,ru,53.71,158.41
port keats,au,-13.22,126.86
casablanca,ma,35.12,-8.52
woodstock,ca,46.43,-67.11
hunza,pk,37.99,74.08
eldikan,ru,60.27,135.32
kahului,us,32.28,-152.07
margate,za,-39.89,39.51
northam,au,-28.61,118.02
meiktila,mm,20.6,95.77
nchelenge,zm,-9.22,28.29
moree,au,-28.96,150.52
sokoto,ng,12.62,4.9
lebu,cl,-38.51,-97.81
udachnyy,ru,66.85,115.81
eureka,us,40.74,-129.3
kerema,pg,-7.91,144.52
asau,tv,-11.32,177.9
brae,gb,63.16,-3.14
koslan,ru,63.97,49.24
xuanzhou,cn,30.65,119.09
bajo baudo,co,4.77,-77.96
hami,cn,42.65,93.25
saint anthony,ca,55.06,-52.67
tevriz,ru,57.46,73.05
artyk,ru,65.39,144.82
santiago,ph,7.08,130.3
iquitos,pe,-3.0,-73.39
inuvik,ca,67.14,-131.6
svetlogorsk,ru,67.34,93.97
shubarshi,kz,47.07,57.23
alice springs,au,-21.5,136.13
dawei,mm,13.35,98.4
gat,ly,25.12,9.37
ust-tsilma,ru,67.58,49.54
flin flon,ca,62.81,-102.29
port arthur,us,28.86,-93.1
kokopo,pg,-4.62,151.63
mufulira,zm,-12.34,28.42
husavik,is,70.34,-14.73
fort nelson,ca,57.8,-121.49
ponta do sol,cv,25.2,-37.74
sioux lookout,ca,56.36,-91.45
buala,sb,-1.99,161.85
zheleznodorozhnyy,ru,57.26,102.26
manta,ec,0.51,-85.02
ust-nera,ru,63.91,142.56
lagos,ng,5.26,3.66
padang,id,-7.99,92.2
paragominas,br,-3.92,-47.62
agadir,ma,31.34,-11.74
bay roberts,ca,46.72,-53.1
jiuquan,cn,40.94,100.03
mindif,cm,10.33,14.77
opuwo,na,-20.67,6.55
sept-iles,ca,51.69,-65.15
faanui,pf,-6.86,-152.26
kangaatsiaq,gl,68.72,-56.77
weihe,cn,44.36,128.64
byron bay,au,-27.75,160.39
sibsagar,in,26.99,94.41
vestmanna,fo,68.78,-8.34
altay,cn,45.84,90.47
liepaja,lv,56.54,20.51
mayumba,ga,-6.17,8.79
plettenberg bay,za,-47.16,23.69
elverum,no,61.41,12.03
churapcha,ru,62.51,132.68
caala,ao,-13.14,15.66
hihifo,to,-14.75,-174.8
bereznik,ru,62.47,42.39
payson,us,33.85,-111.05
saint-francois,gp,21.38,-49.81
turukhansk,ru,62.83,85.8
borogontsy,ru,64.76,132.8
kuche,cn,39.56,84.06
tingrela,ci,10.11,-6.3
constantine,dz,35.66,6.18
pokrovsk,ru,61.36,129.65
joaquim gomes,br,-9.11,-35.77
clarence town,bs,23.84,-75.64
beidao,cn,35.02,105.69
kidal,ml,17.53,0.74
himora,et,14.38,37.28
newton,us,38.16,-97.48
sedelnikovo,ru,57.37,75.05
orizatlan,mx,21.09,-98.63
nzega,tz,-4.62,33.07
boromo,bf,11.46,-2.61
la gaulette,mu,-20.78,56.64
pathein,mm,16.52,94.3
olinda,br,-9.63,-30.42
gorontalo,id,1.77,121.99
hofn,is,64.39,-11.07
balad,iq,33.88,43.73
belmonte,br,-16.51,-31.35
poum,nc,-19.68,157.78
nouakchott,mr,18.9,-15.94
kazalinsk,kz,46.52,60.08
bardiyah,ly,31.25,24.48
kushima,jp,29.27,133.35
bloomingdale,us,27.8,-82.25
attawapiskat,ca,59.72,-82.59
voicesti,ro,44.59,24.29
bida,ng,9.76,5.88
copalillo,mx,18.17,-99.01
helong,cn,42.54,128.73
fairbanks,us,71.99,-143.71
libreville,ga,0.47,8.26
mehamn,no,77.99,27.39
aguas formosas,br,-16.87,-40.66
sanawad,in,22.27,76.31
vanavara,ru,61.5,101.44
saint-augustin,ca,50.57,-59.98
pitimbu,br,-7.69,-25.43
serenje,zm,-12.71,30.59
leshukonskoye,ru,68.03,48.04
ushtobe,kz,47.32,77.24
hervey bay,au,-23.11,158.22
lolua,tv,-6.77,172.06
oliveira dos brejinhos,br,-12.39,-42.62
victoria falls,zw,-17.98,25.88
mabaruma,gy,10.27,-58.44
charters towers,au,-21.42,145.56
carupano,ve,10.68,-63.24
dudinka,ru,71.04,86.4
muros,es,41.95,-12.22
sao jose da coroa grande,br,-10.41,-30.42
san francisco de macoris,do,19.33,-70.3
tamazulapam,mx,17.57,-97.63
bluefields,ni,11.27,-83.4
weifang,cn,36.74,118.93
bafq,ir,31.78,54.93
aleksandrov gay,ru,48.89,48.23
nanakuli,us,15.47,-161.98
zaysan,kz,47.76,86.04
port-gentil,ga,-4.69,1.42
sibolga,id,0.72,96.31
katobu,id,-6.21,122.21
panaba,mx,21.95,-88.1
san policarpo,ph,12.45,128.53
athabasca,ca,55.95,-113.4
neyshabur,ir,35.85,58.54
port blair,in,11.54,89.13
dingle,ie,51.96,-14.61
atasu,kz,47.97,73.1
praia,cv,13.25,-22.35
imbituba,br,-28.18,-47.32
kirakira,sb,-9.71,162.27
pereleshino,ru,51.75,40.11
cairns,au,-15.78,148.32
pampa,us,35.5,-100.88
sorland,no,72.61,10.31
ingleside,us,27.85,-97.24
wamba,cd,2.04,28.53
langham,ca,53.06,-107.19
scarborough,gb,54.96,-0.19
tura,ru,67.32,97.41
san jose,gt,10.79,-92.4
yaan,cn,29.81,101.19
rock springs,us,41.74,-108.52
comodoro rivadavia,ar,-45.29,-66.47
poronaysk,ru,49.07,145.71
korla,cn,38.2,88.63
sarkand,kz,46.4,79.41
flinders,au,-34.87,129.01
digha,in,21.64,87.43
kavaratti,in,12.53,69.8
kismayo,so,-2.13,44.9
boyolangu,id,-15.27,110.87
kogon,uz,39.3,64.63
minas,uy,-34.48,-55.1
phan rang,vn,9.34,110.31
maine-soroa,ne,12.62,11.91
maldonado,uy,-40.9,-50.65
alyangula,au,-14.58,140.83
kerteh,my,4.36,103.84
chicama,pe,-12.96,-87.85
lodja,cd,-2.55,23.65
springbok,za,-29.66,19.08
nizhniy baskunchak,ru,48.16,46.82
semey,kz,49.55,78.45
parrita,cr,8.2,-85.51
aasiaat,gl,71.45,-52.91
abha,sa,18.38,42.33
peterhead,gb,58.34,-0.57
alihe,cn,51.42,122.97
bundaberg,au,-20.56,155.68
slave lake,ca,55.84,-114.15
ningxiang,cn,28.32,112.81
black river,jm,17.4,-79.01
point fortin,tt,10.01,-61.83
quebec,ca,46.78,-71.2
mlimba,tz,-8.79,35.9
uspenka,ru,57.06,69.55
krasnokholm,ru,51.55,54.04
puerto quijarro,bo,-18.32,-57.35
am timan,td,11.12,20.58
conde,br,-15.41,-32.6
barranca,pe,-4.45,-76.96
aden,ye,13.21,47.06
avera,pf,-26.69,-155.36
ulladulla,au,-38.85,155.73
villa carlos paz,ar,-30.71,-65.58
dalvik,is,67.41,-18.8
matsanga,cg,-1.69,12.77
sakakah,sa,28.77,38.67
prieska,za,-28.94,22.89
falealupo,ws,-14.0,-173.86
wanlaweyn,so,3.58,44.78
manokwari,id,2.47,133.1
lagunas,pe,-5.0,-75.32
atar,mr,23.47,-12.75
wahiawa,us,25.1,-157.2
semnan,ir,34.1,54.0
biltine,td,16.53,22.65
pierre,us,44.35,-100.9
bilibino,ru,71.51,167.01
fasa,ir,28.95,53.22
penzance,gb,47.62,-8.45
ondjiva,ao,-15.89,15.92
bingen,de,49.92,7.85
humberto de campos,br,-1.43,-43.21
carbonia,it,38.09,7.1
denpasar,id,-14.83,114.5
itaituba,br,-5.82,-55.23
almeria,es,36.32,-2.18
berdsk,ru,54.48,83.05
bernalillo,us,35.33,-106.56
bur gabo,so,-2.77,44.42
bathurst,ca,47.32,-66.33
coronel fabriciano,br,-19.42,-42.68
lahaina,us,20.14,-157.49
leland,no,65.99,12.93
moses lake,us,47.11,-118.57
xuanhua,cn,39.8,114.8
mezen,ru,69.1,46.86
ostrovnoy,ru,84.25,41.33
bargal,so,9.92,55.96
urengoy,ru,64.68,80.22
palestina,ec,-1.9,-79.73
sainte-rose,re,-21.03,56.12
khonuu,ru,66.14,141.08
atambua,id,-9.53,126.63
wenling,cn,27.47,122.42
yuancheng,cn,24.2,115.3
tiznit,ma,25.46,-9.79
mednogorsk,ru,51.01,57.59
kamaishi,jp,35.54,148.12
palembang,id,-2.97,104.59
kolpashevo,ru,58.51,83.55
touros,br,1.51,-27.16
kungurtug,ru,51.89,97.87
usak,tr,38.58,29.33
dukat,ru,64.15,155.18
mangrol,in,19.33,68.21
pochutla,mx,15.04,-96.53
mogoytuy,ru,51.18,115.02
bacungan,ph,9.95,118.74
povazska bystrica,sk,48.99,18.38
hay river,ca,59.0,-113.55
negara,id,-8.2,114.69
pitea,se,64.51,21.83
gallup,us,34.67,-109.08
guilin,cn,25.78,110.62
batemans bay,au,-38.46,151.08
chaochou,tw,22.45,120.75
sobolevo,ru,54.2,154.02
yamada,jp,39.24,142.81
kalanguy,ru,50.88,116.73
ambulu,id,-10.53,112.93
manaira,br,-7.52,-38.31
sabang,id,6.29,94.58
urumqi,cn,42.99,88.42
sabha,ly,25.6,17.07
kihei,us,19.08,-157.21
san juan,ar,-31.46,-69.43
bilma,ne,19.42,11.27
tlacotepec,mx,17.64,-99.92
kalmunai,lk,7.69,86.39
sheridan,us,45.73,-106.78
ialibu,pg,-6.79,144.37
tommot,ru,59.3,126.7
buloh kasap,my,3.0,102.77
toamasina,mg,-17.83,49.56
laguna,br,-32.52,-41.64
wilmington,us,33.79,-77.14
mchinji,mw,-13.68,33.02
rocha,uy,-36.73,-51.77
fort morgan,us,40.58,-103.65
faya,td,20.94,22.77
brewster,us,42.17,-68.84
anajatuba,br,-3.23,-44.52
yining,cn,44.4,80.96
tagusao,ph,11.43,115.59
kenmare,ie,51.95,-9.64
pemangkat,id,2.31,106.75
keti bandar,pk,23.07,66.46
monte patria,cl,-31.07,-70.68
sorong,id,2.0,132.2
mumford,gh,3.72,-0.43
yurimaguas,pe,-6.16,-75.1
raudeberg,no,62.5,4.96
nenjiang,cn,49.22,125.45
curup,id,-2.45,102.76
madrid,co,4.74,-74.28
